The amount of steps is wrong: 12001 is not 0
  In (0,29), the ground is expected to be white, but it is black.
  In (27,21), the ground is expected to be white, but it is blue.
  In (27,22), the ground is expected to be white, but it is cyan.
  In (27,23), the ground is expected to be white, but it is blue.
  In (27,24), the ground is expected to be white, but it is blue.
  In (27,25), the ground is expected to be white, but it is cyan.
  In (27,26), the ground is expected to be white, but it is black.
  In (27,27), the ground is expected to be white, but it is black.
  In (27,28), the ground is expected to be white, but it is black.
  In (27,29), the ground is expected to be white, but it is black.
  In (28,0), the ground is expected to be white, but it is cyan.
  In (28,1), the ground is expected to be white, but it is cyan.
  In (28,2), the ground is expected to be white, but it is blue.
  In (28,3), the ground is expected to be white, but it is blue.
  In (28,4), the ground is expected to be white, but it is blue.
  In (28,5), the ground is expected to be white, but it is blue.
  In (28,6), the ground is expected to be white, but it is blue.
  In (28,7), the ground is expected to be white, but it is cyan.
  In (28,8), the ground is expected to be white, but it is cyan.
  In (28,9), the ground is expected to be white, but it is blue.
  In (28,10), the ground is expected to be white, but it is cyan.
  In (28,11), the ground is expected to be white, but it is blue.
  In (28,12), the ground is expected to be white, but it is blue.
  In (28,13), the ground is expected to be white, but it is blue.
  In (28,14), the ground is expected to be white, but it is blue.
  In (28,15), the ground is expected to be white, but it is blue.
  In (28,16), the ground is expected to be white, but it is blue.
  In (28,17), the ground is expected to be white, but it is blue.
  In (28,18), the ground is expected to be white, but it is blue.
  In (28,19), the ground is expected to be white, but it is blue.
  In (28,20), the ground is expected to be white, but it is blue.
  In (28,21), the ground is expected to be white, but it is cyan.
  In (28,22), the ground is expected to be white, but it is blue.
  In (28,23), the ground is expected to be white, but it is cyan.
  In (28,24), the ground is expected to be white, but it is cyan.
  In (28,25), the ground is expected to be white, but it is blue.
  In (28,26), the ground is expected to be white, but it is blue.
  In (28,27), the ground is expected to be white, but it is blue.
  In (28,28), the ground is expected to be white, but it is blue.
  In (28,29), the ground is expected to be white, but it is blue.
  In (29,0), the ground is expected to be white, but it is blue.
  In (29,1), the ground is expected to be white, but it is blue.
  In (29,2), the ground is expected to be white, but it is black.
  In (29,3), the ground is expected to be white, but it is black.
  In (29,4), the ground is expected to be white, but it is black.
  In (29,5), the ground is expected to be white, but it is black.
  In (29,6), the ground is expected to be white, but it is black.
  In (29,7), the ground is expected to be white, but it is black.
  In (29,8), the ground is expected to be white, but it is black.
  In (29,9), the ground is expected to be white, but it is cyan.
  In (29,10), the ground is expected to be white, but it is blue.
  In (29,11), the ground is expected to be white, but it is blue.
  In (29,12), the ground is expected to be white, but it is blue.
  In (29,13), the ground is expected to be white, but it is blue.
  In (29,14), the ground is expected to be white, but it is blue.
  In (29,15), the ground is expected to be white, but it is blue.
  In (29,16), the ground is expected to be white, but it is blue.
  In (29,17), the ground is expected to be white, but it is blue.
  In (29,18), the ground is expected to be white, but it is blue.
  In (29,19), the ground is expected to be white, but it is blue.
  In (29,20), the ground is expected to be white, but it is blue.
  In (29,21), the ground is expected to be white, but it is blue.
  In (29,22), the ground is expected to be white, but it is cyan.
  In (29,23), the ground is expected to be white, but it is black.
  In (29,24), the ground is expected to be white, but it is black.
  In (29,25), the ground is expected to be white, but it is black.
  In (29,26), the ground is expected to be white, but it is black.
  In (29,27), the ground is expected to be white, but it is black.
  In (29,28), the ground is expected to be white, but it is black.
  In (29,29), the ground is expected to be white, but it is black.

The amount of steps is wrong: 9001 is not 0
  In (1,3), the ground is expected to be black, but it is white.
  In (1,4), the ground is expected to be black, but it is white.
  In (1,5), the ground is expected to be black, but it is white.
  In (1,6), the ground is expected to be black, but it is white.
  In (1,7), the ground is expected to be black, but it is white.
  In (1,8), the ground is expected to be black, but it is white.
  In (1,9), the ground is expected to be black, but it is white.
  In (1,10), the ground is expected to be black, but it is white.
  In (1,11), the ground is expected to be black, but it is white.
  In (1,12), the ground is expected to be black, but it is white.
  In (1,13), the ground is expected to be black, but it is white.
  In (1,14), the ground is expected to be black, but it is white.
  In (1,15), the ground is expected to be black, but it is white.
  In (1,16), the ground is expected to be black, but it is white.
  In (1,17), the ground is expected to be black, but it is white.
  In (1,18), the ground is expected to be black, but it is white.
  In (1,19), the ground is expected to be black, but it is white.
  In (1,20), the ground is expected to be black, but it is white.
  In (1,21), the ground is expected to be black, but it is white.
  In (1,22), the ground is expected to be black, but it is white.
  In (2,0), the ground is expected to be white, but it is black.
  In (2,3), the ground is expected to be black, but it is white.
  In (2,4), the ground is expected to be cyan, but it is white.
  In (2,5), the ground is expected to be blue, but it is white.
  In (2,6), the ground is expected to be blue, but it is white.
  In (2,7), the ground is expected to be blue, but it is white.
  In (2,8), the ground is expected to be blue, but it is white.
  In (2,9), the ground is expected to be blue, but it is white.
  In (2,10), the ground is expected to be blue, but it is white.
  In (2,11), the ground is expected to be blue, but it is white.
  In (2,12), the ground is expected to be blue, but it is white.
  In (2,13), the ground is expected to be blue, but it is white.
  In (2,14), the ground is expected to be blue, but it is white.
  In (2,15), the ground is expected to be blue, but it is white.
  In (2,16), the ground is expected to be blue, but it is white.
  In (2,17), the ground is expected to be blue, but it is white.
  In (2,18), the ground is expected to be blue, but it is white.
  In (2,19), the ground is expected to be blue, but it is white.
  In (2,20), the ground is expected to be blue, but it is white.
  In (2,21), the ground is expected to be cyan, but it is black.
  In (2,23), the ground is expected to be white, but it is black.
  In (3,0), the ground is expected to be white, but it is black.
  In (3,1), the ground is expected to be black, but it is white.
  In (3,2), the ground is expected to be black, but it is white.
  In (3,3), the ground is expected to be black, but it is white.
  In (3,4), the ground is expected to be blue, but it is white.
  In (3,5), the ground is expected to be cyan, but it is white.
  In (3,6), the ground is expected to be blue, but it is white.
  In (3,7), the ground is expected to be blue, but it is white.
  In (3,8), the ground is expected to be blue, but it is white.
  In (3,9), the ground is expected to be blue, but it is white.
  In (3,10), the ground is expected to be blue, but it is white.
  In (3,11), the ground is expected to be blue, but it is white.
  In (3,12), the ground is expected to be blue, but it is white.
  In (3,13), the ground is expected to be blue, but it is white.
  In (3,14), the ground is expected to be blue, but it is white.
  In (3,15), the ground is expected to be blue, but it is white.
  In (3,16), the ground is expected to be blue, but it is white.
  In (3,17), the ground is expected to be blue, but it is white.
  In (3,18), the ground is expected to be blue, but it is black.
  In (3,19), the ground is expected to be blue, but it is black.
  In (3,21), the ground is expected to be blue, but it is green.
  In (3,22), the ground is expected to be black, but it is magenta.
  In (3,23), the ground is expected to be white, but it is magenta.
  In (4,0), the ground is expected to be white, but it is black.
  In (4,1), the ground is expected to be black, but it is white.
  In (4,2), the ground is expected to be cyan, but it is white.
  In (4,3), the ground is expected to be blue, but it is white.
  In (4,4), the ground is expected to be black, but it is white.
  In (4,5), the ground is expected to be cyan, but it is black.
  In (4,6), the ground is expected to be green, but it is black.
  In (4,9), the ground is expected to be cyan, but it is green.
  In (4,10), the ground is expected to be cyan, but it is green.
  In (4,11), the ground is expected to be orange, but it is blue.
  In (4,12), the ground is expected to be orange, but it is blue.
  In (4,13), the ground is expected to be orange, but it is blue.
  In (4,14), the ground is expected to be orange, but it is blue.
  In (4,15), the ground is expected to be blue, but it is green.
  In (4,16), the ground is expected to be blue, but it is green.
  In (4,17), the ground is expected to be blue, but it is green.
  In (4,18), the ground is expected to be blue, but it is orange.
  In (4,19), the ground is expected to be cyan, but it is magenta.
  In (4,21), the ground is expected to be blue, but it is cyan.
  In (4,22), the ground is expected to be black, but it is red.
  In (4,23), the ground is expected to be white, but it is magenta.
  In (5,0), the ground is expected to be white, but it is black.
  In (5,1), the ground is expected to be black, but it is white.
  In (5,2), the ground is expected to be cyan, but it is white.
  In (5,3), the ground is expected to be green, but it is white.
  In (5,4), the ground is expected to be orange, but it is white.
  In (5,5), the ground is expected to be orange, but it is black.
  In (5,8), the ground is expected to be red, but it is blue.
  In (5,9), the ground is expected to be red, but it is cyan.
  In (5,10), the ground is expected to be white, but it is grey.
  In (5,11), the ground is expected to be black, but it is red.
  In (5,12), the ground is expected to be black, but it is grey.
  In (5,13), the ground is expected to be cyan, but it is red.
  In (5,14), the ground is expected to be grey, but it is black.
  In (5,17), the ground is expected to be blue, but it is white.
  In (5,18), the ground is expected to be cyan, but it is blue.
  In (5,19), the ground is expected to be blue, but it is grey.
  In (5,20), the ground is expected to be blue, but it is black.
  In (5,22), the ground is expected to be black, but it is blue.
  In (5,23), the ground is expected to be white, but it is orange.
  In (6,1), the ground is expected to be black, but it is white.
  In (6,2), the ground is expected to be cyan, but it is white.
  In (6,4), the ground is expected to be green, but it is white.
  In (6,5), the ground is expected to be white, but it is cyan.
  In (6,7), the ground is expected to be black, but it is cyan.
  In (6,8), the ground is expected to be grey, but it is red.
  In (6,9), the ground is expected to be grey, but it is white.
  In (6,10), the ground is expected to be black, but it is blue.
  In (6,11), the ground is expected to be grey, but it is orange.
  In (6,13), the ground is expected to be red, but it is white.
  In (6,14), the ground is expected to be black, but it is blue.
  In (6,15), the ground is expected to be orange, but it is magenta.
  In (6,16), the ground is expected to be green, but it is grey.
  In (6,18), the ground is expected to be blue, but it is orange.
  In (6,19), the ground is expected to be blue, but it is cyan.
  In (6,20), the ground is expected to be blue, but it is grey.
  In (6,21), the ground is expected to be blue, but it is white.
  In (6,22), the ground is expected to be black, but it is white.
  In (6,23), the ground is expected to be white, but it is green.
  In (7,1), the ground is expected to be black, but it is white.
  In (7,2), the ground is expected to be red, but it is white.
  In (7,3), the ground is expected to be blue, but it is white.
  In (7,4), the ground is expected to be blue, but it is white.
  In (7,5), the ground is expected to be white, but it is cyan.
  In (7,6), the ground is expected to be red, but it is cyan.
  In (7,7), the ground is expected to be cyan, but it is white.
  In (7,9), the ground is expected to be red, but it is cyan.
  In (7,10), the ground is expected to be magenta, but it is orange.
  In (7,11), the ground is expected to be white, but it is magenta.
  In (7,12), the ground is expected to be green, but it is cyan.
  In (7,13), the ground is expected to be grey, but it is green.
  In (7,14), the ground is expected to be orange, but it is black.
  In (7,15), the ground is expected to be white, but it is black.
  In (7,16), the ground is expected to be white, but it is orange.
  In (7,17), the ground is expected to be red, but it is grey.
  In (7,18), the ground is expected to be blue, but it is green.
  In (7,20), the ground is expected to be blue, but it is cyan.
  In (7,21), the ground is expected to be blue, but it is green.
  In (7,22), the ground is expected to be black, but it is grey.
  In (7,23), the ground is expected to be white, but it is black.
  In (8,1), the ground is expected to be black, but it is white.
  In (8,2), the ground is expected to be red, but it is white.
  In (8,3), the ground is expected to be black, but it is white.
  In (8,5), the ground is expected to be grey, but it is orange.
  In (8,6), the ground is expected to be cyan, but it is red.
  In (8,7), the ground is expected to be white, but it is orange.
  In (8,8), the ground is expected to be blue, but it is orange.
  In (8,9), the ground is expected to be magenta, but it is white.
  In (8,10), the ground is expected to be blue, but it is green.
  In (8,11), the ground is expected to be black, but it is grey.
  In (8,12), the ground is expected to be magenta, but it is blue.
  In (8,13), the ground is expected to be cyan, but it is magenta.
  In (8,14), the ground is expected to be magenta, but it is grey.
  In (8,15), the ground is expected to be red, but it is black.
  In (8,16), the ground is expected to be green, but it is cyan.
  In (8,17), the ground is expected to be blue, but it is magenta.
  In (8,19), the ground is expected to be cyan, but it is magenta.
  In (8,20), the ground is expected to be cyan, but it is orange.
  In (8,22), the ground is expected to be black, but it is grey.
  In (8,23), the ground is expected to be white, but it is black.
  In (9,1), the ground is expected to be black, but it is white.
  In (9,2), the ground is expected to be red, but it is white.
  In (9,3), the ground is expected to be black, but it is white.
  In (9,4), the ground is expected to be magenta, but it is white.
  In (9,5), the ground is expected to be cyan, but it is orange.
  In (9,6), the ground is expected to be orange, but it is blue.
  In (9,7), the ground is expected to be orange, but it is white.
  In (9,8), the ground is expected to be cyan, but it is grey.
  In (9,9), the ground is expected to be white, but it is green.
  In (9,10), the ground is expected to be green, but it is grey.
  In (9,12), the ground is expected to be white, but it is magenta.
  In (9,15), the ground is expected to be red, but it is white.
  In (9,16), the ground is expected to be orange, but it is cyan.
  In (9,17), the ground is expected to be cyan, but it is magenta.
  In (9,18), the ground is expected to be cyan, but it is grey.
  In (9,20), the ground is expected to be cyan, but it is red.
  In (9,21), the ground is expected to be blue, but it is green.
  In (9,22), the ground is expected to be black, but it is cyan.
  In (9,23), the ground is expected to be white, but it is orange.
  In (10,0), the ground is expected to be white, but it is blue.
  In (10,1), the ground is expected to be black, but it is white.
  In (10,2), the ground is expected to be red, but it is white.
  In (10,3), the ground is expected to be green, but it is white.
  In (10,4), the ground is expected to be black, but it is white.
  In (10,5), the ground is expected to be white, but it is orange.
  In (10,6), the ground is expected to be cyan, but it is magenta.
  In (10,7), the ground is expected to be green, but it is black.
  In (10,9), the ground is expected to be blue, but it is grey.
  In (10,10), the ground is expected to be orange, but it is white.
  In (10,11), the ground is expected to be magenta, but it is grey.
  In (10,12), the ground is expected to be magenta, but it is orange.
  In (10,13), the ground is expected to be cyan, but it is white.
  In (10,14), the ground is expected to be orange, but it is green.
  In (10,15), the ground is expected to be red, but it is black.
  In (10,16), the ground is expected to be black, but it is white.
  In (10,18), the ground is expected to be red, but it is black.
  In (10,21), the ground is expected to be blue, but it is orange.
  In (10,22), the ground is expected to be black, but it is white.
  In (10,23), the ground is expected to be white, but it is red.
  In (11,0), the ground is expected to be white, but it is cyan.
  In (11,2), the ground is expected to be green, but it is white.
  In (11,3), the ground is expected to be green, but it is white.
  In (11,5), the ground is expected to be black, but it is orange.
  In (11,6), the ground is expected to be grey, but it is magenta.
  In (11,7), the ground is expected to be cyan, but it is grey.
  In (11,8), the ground is expected to be orange, but it is green.
  In (11,9), the ground is expected to be black, but it is red.
  In (11,10), the ground is expected to be black, but it is magenta.
  In (11,11), the ground is expected to be blue, but it is red.
  In (11,12), the ground is expected to be magenta, but it is green.
  In (11,13), the ground is expected to be green, but it is blue.
  In (11,14), the ground is expected to be cyan, but it is white.
  In (11,15), the ground is expected to be grey, but it is black.
  In (11,16), the ground is expected to be green, but it is black.
  In (11,17), the ground is expected to be orange, but it is black.
  In (11,18), the ground is expected to be orange, but it is grey.
  In (11,19), the ground is expected to be blue, but it is orange.
  In (11,20), the ground is expected to be green, but it is blue.
  In (11,21), the ground is expected to be blue, but it is cyan.
  In (12,0), the ground is expected to be white, but it is magenta.
  In (12,2), the ground is expected to be green, but it is white.
  In (12,3), the ground is expected to be orange, but it is white.
  In (12,4), the ground is expected to be green, but it is white.
  In (12,5), the ground is expected to be black, but it is orange.
  In (12,6), the ground is expected to be red, but it is magenta.
  In (12,7), the ground is expected to be magenta, but it is blue.
  In (12,8), the ground is expected to be magenta, but it is orange.
  In (12,9), the ground is expected to be magenta, but it is black.
  In (12,10), the ground is expected to be green, but it is magenta.
  In (12,11), the ground is expected to be red, but it is magenta.
  In (12,12), the ground is expected to be magenta, but it is black.
  In (12,13), the ground is expected to be white, but it is black.
  In (12,14), the ground is expected to be grey, but it is cyan.
  In (12,15), the ground is expected to be magenta, but it is red.
  In (12,17), the ground is expected to be cyan, but it is orange.
  In (12,18), the ground is expected to be white, but it is grey.
  In (12,19), the ground is expected to be cyan, but it is magenta.
  In (12,22), the ground is expected to be black, but it is blue.
  In (12,23), the ground is expected to be white, but it is red.
  In (13,0), the ground is expected to be white, but it is magenta.
  In (13,2), the ground is expected to be green, but it is white.
  In (13,3), the ground is expected to be orange, but it is white.
  In (13,4), the ground is expected to be blue, but it is white.
  In (13,5), the ground is expected to be black, but it is orange.
  In (13,6), the ground is expected to be green, but it is orange.
  In (13,7), the ground is expected to be red, but it is black.
  In (13,8), the ground is expected to be blue, but it is grey.
  In (13,9), the ground is expected to be blue, but it is orange.
  In (13,10), the ground is expected to be green, but it is magenta.
  In (13,11), the ground is expected to be blue, but it is black.
  In (13,12), the ground is expected to be white, but it is magenta.
  In (13,13), the ground is expected to be blue, but it is magenta.
  In (13,14), the ground is expected to be grey, but it is blue.
  In (13,15), the ground is expected to be blue, but it is white.
  In (13,16), the ground is expected to be orange, but it is grey.
  In (13,17), the ground is expected to be blue, but it is orange.
  In (13,18), the ground is expected to be magenta, but it is green.
  In (13,19), the ground is expected to be magenta, but it is orange.
  In (13,20), the ground is expected to be orange, but it is white.
  In (13,21), the ground is expected to be blue, but it is red.
  In (13,22), the ground is expected to be black, but it is orange.
  In (13,23), the ground is expected to be white, but it is magenta.
  In (14,0), the ground is expected to be white, but it is black.
  In (14,2), the ground is expected to be green, but it is white.
  In (14,3), the ground is expected to be black, but it is white.
  In (14,4), the ground is expected to be red, but it is white.
  In (14,5), the ground is expected to be magenta, but it is green.
  In (14,6), the ground is expected to be cyan, but it is blue.
  In (14,7), the ground is expected to be white, but it is red.
  In (14,8), the ground is expected to be black, but it is orange.
  In (14,9), the ground is expected to be green, but it is black.
  In (14,10), the ground is expected to be green, but it is blue.
  In (14,12), the ground is expected to be black, but it is cyan.
  In (14,13), the ground is expected to be red, but it is black.
  In (14,14), the ground is expected to be grey, but it is black.
  In (14,15), the ground is expected to be orange, but it is green.
  In (14,16), the ground is expected to be blue, but it is grey.
  In (14,17), the ground is expected to be orange, but it is white.
  In (14,18), the ground is expected to be cyan, but it is grey.
  In (14,19), the ground is expected to be orange, but it is black.
  In (14,20), the ground is expected to be green, but it is magenta.
  In (14,21), the ground is expected to be blue, but it is black.
  In (14,23), the ground is expected to be white, but it is black.
  In (15,1), the ground is expected to be black, but it is white.
  In (15,2), the ground is expected to be green, but it is white.
  In (15,4), the ground is expected to be red, but it is white.
  In (15,5), the ground is expected to be grey, but it is green.
  In (15,6), the ground is expected to be grey, but it is black.
  In (15,7), the ground is expected to be magenta, but it is green.
  In (15,10), the ground is expected to be orange, but it is green.
  In (15,11), the ground is expected to be cyan, but it is magenta.
  In (15,12), the ground is expected to be grey, but it is green.
  In (15,13), the ground is expected to be white, but it is green.
  In (15,14), the ground is expected to be magenta, but it is red.
  In (15,16), the ground is expected to be blue, but it is white.
  In (15,17), the ground is expected to be white, but it is black.
  In (15,19), the ground is expected to be grey, but it is green.
  In (15,20), the ground is expected to be green, but it is cyan.
  In (15,21), the ground is expected to be blue, but it is green.
  In (15,22), the ground is expected to be black, but it is white.
  In (16,1), the ground is expected to be black, but it is white.
  In (16,2), the ground is expected to be green, but it is white.
  In (16,4), the ground is expected to be green, but it is white.
  In (16,5), the ground is expected to be white, but it is green.
  In (16,7), the ground is expected to be orange, but it is grey.
  In (16,8), the ground is expected to be blue, but it is magenta.
  In (16,9), the ground is expected to be cyan, but it is black.
  In (16,10), the ground is expected to be grey, but it is green.
  In (16,11), the ground is expected to be green, but it is blue.
  In (16,12), the ground is expected to be cyan, but it is magenta.
  In (16,13), the ground is expected to be blue, but it is cyan.
  In (16,14), the ground is expected to be orange, but it is white.
  In (16,15), the ground is expected to be black, but it is cyan.
  In (16,16), the ground is expected to be magenta, but it is cyan.
  In (16,17), the ground is expected to be orange, but it is white.
  In (16,18), the ground is expected to be magenta, but it is red.
  In (16,19), the ground is expected to be red, but it is white.
  In (16,20), the ground is expected to be blue, but it is black.
  In (16,21), the ground is expected to be blue, but it is green.
  In (16,22), the ground is expected to be black, but it is white.
  In (17,1), the ground is expected to be black, but it is white.
  In (17,2), the ground is expected to be cyan, but it is white.
  In (17,3), the ground is expected to be magenta, but it is white.
  In (17,4), the ground is expected to be blue, but it is black.
  In (17,5), the ground is expected to be black, but it is orange.
  In (17,6), the ground is expected to be red, but it is cyan.
  In (17,7), the ground is expected to be green, but it is grey.
  In (17,8), the ground is expected to be black, but it is blue.
  In (17,9), the ground is expected to be grey, but it is red.
  In (17,10), the ground is expected to be cyan, but it is red.
  In (17,11), the ground is expected to be cyan, but it is red.
  In (17,12), the ground is expected to be magenta, but it is blue.
  In (17,13), the ground is expected to be orange, but it is red.
  In (17,14), the ground is expected to be blue, but it is grey.
  In (17,15), the ground is expected to be grey, but it is white.
  In (17,16), the ground is expected to be magenta, but it is black.
  In (17,17), the ground is expected to be orange, but it is white.
  In (17,18), the ground is expected to be green, but it is magenta.
  In (17,20), the ground is expected to be blue, but it is white.
  In (17,21), the ground is expected to be blue, but it is cyan.
  In (17,22), the ground is expected to be black, but it is white.
  In (18,1), the ground is expected to be black, but it is white.
  In (18,2), the ground is expected to be cyan, but it is white.
  In (18,3), the ground is expected to be orange, but it is white.
  In (18,4), the ground is expected to be white, but it is black.
  In (18,6), the ground is expected to be black, but it is magenta.
  In (18,8), the ground is expected to be magenta, but it is blue.
  In (18,9), the ground is expected to be black, but it is blue.
  In (18,10), the ground is expected to be green, but it is blue.
  In (18,11), the ground is expected to be magenta, but it is red.
  In (18,13), the ground is expected to be orange, but it is blue.
  In (18,14), the ground is expected to be magenta, but it is green.
  In (18,15), the ground is expected to be cyan, but it is grey.
  In (18,16), the ground is expected to be black, but it is magenta.
  In (18,17), the ground is expected to be cyan, but it is green.
  In (18,19), the ground is expected to be red, but it is grey.
  In (18,20), the ground is expected to be green, but it is blue.
  In (18,21), the ground is expected to be blue, but it is cyan.
  In (18,22), the ground is expected to be black, but it is white.
  In (19,1), the ground is expected to be black, but it is white.
  In (19,2), the ground is expected to be blue, but it is white.
  In (19,3), the ground is expected to be green, but it is white.
  In (19,4), the ground is expected to be white, but it is black.
  In (19,5), the ground is expected to be green, but it is magenta.
  In (19,6), the ground is expected to be grey, but it is blue.
  In (19,7), the ground is expected to be magenta, but it is cyan.
  In (19,8), the ground is expected to be blue, but it is cyan.
  In (19,9), the ground is expected to be magenta, but it is red.
  In (19,10), the ground is expected to be blue, but it is black.
  In (19,11), the ground is expected to be red, but it is blue.
  In (19,12), the ground is expected to be black, but it is orange.
  In (19,14), the ground is expected to be green, but it is magenta.
  In (19,15), the ground is expected to be cyan, but it is grey.
  In (19,16), the ground is expected to be grey, but it is blue.
  In (19,17), the ground is expected to be magenta, but it is green.
  In (19,18), the ground is expected to be cyan, but it is orange.
  In (19,19), the ground is expected to be white, but it is magenta.
  In (19,20), the ground is expected to be cyan, but it is magenta.
  In (19,21), the ground is expected to be cyan, but it is black.
  In (19,22), the ground is expected to be black, but it is white.
  In (20,1), the ground is expected to be black, but it is white.
  In (20,2), the ground is expected to be blue, but it is white.
  In (20,3), the ground is expected to be cyan, but it is white.
  In (20,4), the ground is expected to be red, but it is black.
  In (20,5), the ground is expected to be green, but it is black.
  In (20,6), the ground is expected to be grey, but it is cyan.
  In (20,7), the ground is expected to be blue, but it is cyan.
  In (20,8), the ground is expected to be red, but it is orange.
  In (20,9), the ground is expected to be magenta, but it is white.
  In (20,11), the ground is expected to be blue, but it is grey.
  In (20,12), the ground is expected to be cyan, but it is blue.
  In (20,13), the ground is expected to be orange, but it is cyan.
  In (20,14), the ground is expected to be magenta, but it is green.
  In (20,15), the ground is expected to be white, but it is orange.
  In (20,16), the ground is expected to be green, but it is white.
  In (20,17), the ground is expected to be red, but it is white.
  In (20,19), the ground is expected to be grey, but it is black.
  In (20,20), the ground is expected to be red, but it is black.
  In (20,22), the ground is expected to be black, but it is white.
  In (21,1), the ground is expected to be black, but it is white.
  In (21,2), the ground is expected to be cyan, but it is white.
  In (21,3), the ground is expected to be blue, but it is white.
  In (21,4), the ground is expected to be blue, but it is white.
  In (21,5), the ground is expected to be grey, but it is white.
  In (21,6), the ground is expected to be magenta, but it is white.
  In (21,7), the ground is expected to be red, but it is white.
  In (21,8), the ground is expected to be red, but it is white.
  In (21,9), the ground is expected to be magenta, but it is cyan.
  In (21,10), the ground is expected to be magenta, but it is green.
  In (21,11), the ground is expected to be red, but it is grey.
  In (21,12), the ground is expected to be orange, but it is cyan.
  In (21,13), the ground is expected to be orange, but it is green.
  In (21,14), the ground is expected to be red, but it is magenta.
  In (21,15), the ground is expected to be white, but it is black.
  In (21,16), the ground is expected to be blue, but it is white.
  In (21,17), the ground is expected to be blue, but it is white.
  In (21,18), the ground is expected to be blue, but it is white.
  In (21,19), the ground is expected to be cyan, but it is white.
  In (21,20), the ground is expected to be grey, but it is white.
  In (22,1), the ground is expected to be black, but it is white.
  In (22,2), the ground is expected to be black, but it is white.
  In (22,3), the ground is expected to be black, but it is white.
  In (22,4), the ground is expected to be black, but it is white.
  In (22,6), the ground is expected to be black, but it is white.
  In (22,7), the ground is expected to be cyan, but it is white.
  In (22,8), the ground is expected to be cyan, but it is white.
  In (22,9), the ground is expected to be cyan, but it is white.
  In (22,10), the ground is expected to be cyan, but it is black.
  In (22,11), the ground is expected to be cyan, but it is black.
  In (22,12), the ground is expected to be blue, but it is orange.
  In (22,13), the ground is expected to be blue, but it is orange.
  In (22,14), the ground is expected to be cyan, but it is black.
  In (22,15), the ground is expected to be cyan, but it is black.
  In (22,16), the ground is expected to be green, but it is white.
  In (22,17), the ground is expected to be green, but it is white.
  In (22,18), the ground is expected to be green, but it is white.
  In (22,19), the ground is expected to be green, but it is white.
  In (22,20), the ground is expected to be cyan, but it is white.
  In (22,21), the ground is expected to be black, but it is white.
  In (23,6), the ground is expected to be black, but it is white.
  In (23,7), the ground is expected to be black, but it is white.
  In (23,8), the ground is expected to be black, but it is white.
  In (23,9), the ground is expected to be black, but it is white.
  In (23,10), the ground is expected to be black, but it is white.
  In (23,11), the ground is expected to be black, but it is white.
  In (23,12), the ground is expected to be black, but it is white.
  In (23,13), the ground is expected to be black, but it is white.
  In (23,14), the ground is expected to be black, but it is white.
  In (23,15), the ground is expected to be black, but it is white.
  In (23,16), the ground is expected to be black, but it is white.
  In (23,17), the ground is expected to be black, but it is white.
  In (23,18), the ground is expected to be black, but it is white.
  In (23,19), the ground is expected to be black, but it is white.
  In (23,20), the ground is expected to be black, but it is white.
  In (23,21), the ground is expected to be black, but it is white.
  Something is wrong about buggle 'ant':
    Its position is (12,10); expected: (18,8).
    The color of its brush is java.awt.Color[r=255,g=0,b=255]; expected: java.awt.Color[r=0,g=0,b=255].

The amount of steps is wrong: 36001 is not 0
  In (0,10), the ground is expected to be white, but it is black.
  In (0,11), the ground is expected to be white, but it is black.
  In (0,12), the ground is expected to be white, but it is black.
  In (0,13), the ground is expected to be white, but it is black.
  In (0,14), the ground is expected to be white, but it is black.
  In (0,15), the ground is expected to be white, but it is cyan.
  In (0,16), the ground is expected to be white, but it is cyan.
  In (0,17), the ground is expected to be white, but it is cyan.
  In (0,18), the ground is expected to be white, but it is cyan.
  In (0,19), the ground is expected to be white, but it is green.
  In (0,20), the ground is expected to be white, but it is grey.
  In (0,21), the ground is expected to be white, but it is magenta.
  In (0,22), the ground is expected to be white, but it is dark grey.
  In (0,23), the ground is expected to be white, but it is orange.
  In (0,24), the ground is expected to be white, but it is blue.
  In (0,25), the ground is expected to be white, but it is cyan.
  In (0,26), the ground is expected to be white, but it is green.
  In (0,27), the ground is expected to be white, but it is red.
  In (0,28), the ground is expected to be white, but it is grey.
  In (0,29), the ground is expected to be white, but it is dark grey.
  In (0,30), the ground is expected to be white, but it is dark grey.
  In (0,33), the ground is expected to be white, but it is grey.
  In (0,34), the ground is expected to be white, but it is red.
  In (0,35), the ground is expected to be white, but it is red.
  In (0,36), the ground is expected to be white, but it is cyan.
  In (1,18), the ground is expected to be white, but it is black.
  In (1,19), the ground is expected to be white, but it is blue.
  In (1,20), the ground is expected to be white, but it is cyan.
  In (1,21), the ground is expected to be white, but it is magenta.
  In (1,22), the ground is expected to be white, but it is magenta.
  In (1,23), the ground is expected to be white, but it is green.
  In (1,24), the ground is expected to be white, but it is blue.
  In (1,25), the ground is expected to be white, but it is blue.
  In (1,26), the ground is expected to be white, but it is cyan.
  In (1,27), the ground is expected to be white, but it is orange.
  In (1,28), the ground is expected to be white, but it is dark grey.
  In (1,29), the ground is expected to be white, but it is magenta.
  In (1,30), the ground is expected to be white, but it is pink.
  In (1,31), the ground is expected to be white, but it is light grey.
  In (1,32), the ground is expected to be white, but it is grey.
  In (1,33), the ground is expected to be white, but it is orange.
  In (1,34), the ground is expected to be white, but it is green.
  In (1,35), the ground is expected to be white, but it is cyan.
