  In (0,2), the ground is expected to be light grey, but it is white.
  In (25,20), the ground is expected to be light grey, but it is white.
  In (25,27), the ground is expected to be light grey, but it is white.
  In (25,28), the ground is expected to be light grey, but it is white.
  In (25,29), the ground is expected to be white, but it is light grey.
  In (25,31), the ground is expected to be white, but it is light grey.
  In (25,34), the ground is expected to be light grey, but it is white.
  In (25,35), the ground is expected to be light grey, but it is white.
  In (25,38), the ground is expected to be white, but it is light grey.
  In (25,40), the ground is expected to be white, but it is light grey.
  In (25,41), the ground is expected to be light grey, but it is white.
  In (25,43), the ground is expected to be white, but it is light grey.
  In (25,45), the ground is expected to be white, but it is light grey.
  In (25,47), the ground is expected to be white, but it is light grey.
  In (25,48), the ground is expected to be light grey, but it is white.
  In (25,49), the ground is expected to be light grey, but it is white.
  In (25,54), the ground is expected to be white, but it is light grey.
  In (25,55), the ground is expected to be light grey, but it is white.
  In (25,62), the ground is expected to be light grey, but it is white.
  In (26,3), the ground is expected to be light grey, but it is white.
  In (26,10), the ground is expected to be light grey, but it is white.
  In (26,17), the ground is expected to be light grey, but it is white.
  In (26,18), the ground is expected to be white, but it is light grey.
  In (26,20), the ground is expected to be white, but it is light grey.
  In (26,22), the ground is expected to be white, but it is light grey.
  In (26,24), the ground is expected to be light grey, but it is white.
  In (26,28), the ground is expected to be white, but it is light grey.
  In (26,29), the ground is expected to be white, but it is light grey.
  In (26,30), the ground is expected to be white, but it is light grey.
  In (26,32), the ground is expected to be white, but it is light grey.
  In (26,38), the ground is expected to be light grey, but it is white.
  In (26,39), the ground is expected to be white, but it is light grey.
  In (26,41), the ground is expected to be white, but it is light grey.
  In (26,44), the ground is expected to be white, but it is light grey.
  In (26,45), the ground is expected to be light grey, but it is white.
  In (26,46), the ground is expected to be white, but it is light grey.
  In (26,52), the ground is expected to be light grey, but it is white.
  In (26,53), the ground is expected to be white, but it is light grey.
  In (26,55), the ground is expected to be white, but it is light grey.
  In (26,57), the ground is expected to be white, but it is light grey.
  In (26,59), the ground is expected to be light grey, but it is white.
  In (27,2), the ground is expected to be light grey, but it is white.
  In (27,4), the ground is expected to be light grey, but it is white.
  In (27,9), the ground is expected to be light grey, but it is white.
  In (27,11), the ground is expected to be light grey, but it is white.
  In (27,16), the ground is expected to be light grey, but it is white.
  In (27,18), the ground is expected to be light grey, but it is white.
  In (27,19), the ground is expected to be white, but it is light grey.
  In (27,21), the ground is expected to be white, but it is light grey.
  In (27,23), the ground is expected to be light grey, but it is white.
  In (27,25), the ground is expected to be light grey, but it is white.
  In (27,28), the ground is expected to be white, but it is light grey.
  In (27,29), the ground is expected to be white, but it is light grey.
  In (27,31), the ground is expected to be white, but it is light grey.
  In (27,37), the ground is expected to be light grey, but it is white.
  In (27,38), the ground is expected to be white, but it is light grey.
  In (27,39), the ground is expected to be light grey, but it is white.
  In (27,40), the ground is expected to be white, but it is light grey.
  In (27,42), the ground is expected to be white, but it is light grey.
  In (27,44), the ground is expected to be light grey, but it is white.
  In (27,46), the ground is expected to be light grey, but it is white.
  In (27,49), the ground is expected to be white, but it is light grey.
  In (27,53), the ground is expected to be light grey, but it is white.
  In (27,54), the ground is expected to be white, but it is light grey.
  In (27,56), the ground is expected to be white, but it is light grey.
  In (27,58), the ground is expected to be light grey, but it is white.
  In (27,60), the ground is expected to be light grey, but it is white.
  In (28,2), the ground is expected to be light grey, but it is white.
  In (28,4), the ground is expected to be light grey, but it is white.
  In (28,9), the ground is expected to be light grey, but it is white.
  In (28,11), the ground is expected to be light grey, but it is white.
  In (28,16), the ground is expected to be light grey, but it is white.
  In (28,20), the ground is expected to be white, but it is light grey.
  In (28,22), the ground is expected to be white, but it is light grey.
  In (28,23), the ground is expected to be light grey, but it is white.
  In (28,25), the ground is expected to be light grey, but it is white.
  In (28,29), the ground is expected to be white, but it is light grey.
  In (28,30), the ground is expected to be light grey, but it is white.
  In (28,31), the ground is expected to be white, but it is light grey.
  In (28,32), the ground is expected to be light grey, but it is white.
  In (28,37), the ground is expected to be light grey, but it is white.
  In (28,41), the ground is expected to be white, but it is light grey.
  In (28,44), the ground is expected to be light grey, but it is white.
  In (28,46), the ground is expected to be light grey, but it is white.
  In (28,48), the ground is expected to be white, but it is light grey.
  In (28,50), the ground is expected to be white, but it is light grey.
  In (28,51), the ground is expected to be light grey, but it is white.
  In (28,52), the ground is expected to be white, but it is light grey.
  In (28,55), the ground is expected to be white, but it is light grey.
  In (28,57), the ground is expected to be white, but it is light grey.
  In (28,58), the ground is expected to be light grey, but it is white.
  In (28,60), the ground is expected to be light grey, but it is white.
  In (29,3), the ground is expected to be light grey, but it is white.
  In (29,10), the ground is expected to be light grey, but it is white.
  In (29,17), the ground is expected to be light grey, but it is white.
  In (29,19), the ground is expected to be white, but it is light grey.
  In (29,21), the ground is expected to be white, but it is light grey.
  In (29,24), the ground is expected to be light grey, but it is white.
  In (29,28), the ground is expected to be white, but it is light grey.
  In (29,30), the ground is expected to be white, but it is light grey.
  In (29,31), the ground is expected to be light grey, but it is white.
  In (29,32), the ground is expected to be white, but it is light grey.
  In (29,38), the ground is expected to be light grey, but it is white.
  In (29,39), the ground is expected to be white, but it is light grey.
  In (29,41), the ground is expected to be white, but it is light grey.
  In (29,45), the ground is expected to be light grey, but it is white.
  In (29,49), the ground is expected to be white, but it is light grey.
  In (29,51), the ground is expected to be white, but it is light grey.
  In (29,52), the ground is expected to be light grey, but it is white.
  In (29,54), the ground is expected to be white, but it is light grey.
  In (29,56), the ground is expected to be white, but it is light grey.
  In (29,59), the ground is expected to be light grey, but it is white.
  In (30,0), the ground is expected to be light grey, but it is white.
  In (30,6), the ground is expected to be light grey, but it is white.
  In (30,7), the ground is expected to be light grey, but it is white.
  In (30,13), the ground is expected to be light grey, but it is white.
  In (30,16), the ground is expected to be white, but it is light grey.
  In (30,20), the ground is expected to be light grey, but it is white.
  In (30,21), the ground is expected to be light grey, but it is white.
  In (30,27), the ground is expected to be light grey, but it is white.
  In (30,28), the ground is expected to be light grey, but it is white.
  In (30,29), the ground is expected to be white, but it is light grey.
  In (30,31), the ground is expected to be white, but it is light grey.
  In (30,34), the ground is expected to be light grey, but it is white.
  In (30,35), the ground is expected to be light grey, but it is white.
  In (30,38), the ground is expected to be white, but it is light grey.
  In (30,40), the ground is expected to be white, but it is light grey.
  In (30,41), the ground is expected to be light grey, but it is white.
  In (30,50), the ground is expected to be white, but it is light grey.
  In (30,51), the ground is expected to be white, but it is light grey.
  In (30,52), the ground is expected to be white, but it is light grey.
  In (30,55), the ground is expected to be light grey, but it is white.
  In (30,56), the ground is expected to be light grey, but it is white.
  In (30,62), the ground is expected to be light grey, but it is white.
  In (31,1), the ground is expected to be light grey, but it is white.
  In (31,5), the ground is expected to be light grey, but it is white.
  In (31,8), the ground is expected to be light grey, but it is white.
  In (31,12), the ground is expected to be light grey, but it is white.
  In (31,13), the ground is expected to be white, but it is light grey.
  In (31,17), the ground is expected to be white, but it is light grey.
  In (31,19), the ground is expected to be light grey, but it is white.
  In (31,22), the ground is expected to be light grey, but it is white.
  In (31,26), the ground is expected to be light grey, but it is white.
  In (31,28), the ground is expected to be white, but it is light grey.
  In (31,30), the ground is expected to be white, but it is light grey.
  In (31,31), the ground is expected to be white, but it is light grey.
  In (31,32), the ground is expected to be white, but it is light grey.
  In (31,33), the ground is expected to be light grey, but it is white.
  In (31,36), the ground is expected to be light grey, but it is white.
  In (31,39), the ground is expected to be white, but it is light grey.
  In (31,40), the ground is expected to be light grey, but it is white.
  In (31,41), the ground is expected to be white, but it is light grey.
  In (31,43), the ground is expected to be light grey, but it is white.
  In (31,47), the ground is expected to be light grey, but it is white.
  In (31,48), the ground is expected to be white, but it is light grey.
  In (31,49), the ground is expected to be white, but it is light grey.
  In (31,51), the ground is expected to be white, but it is light grey.
  In (31,52), the ground is expected to be white, but it is light grey.
  In (31,54), the ground is expected to be light grey, but it is white.
  In (31,57), the ground is expected to be light grey, but it is white.
  In (31,61), the ground is expected to be light grey, but it is white.
  In (32,0), the ground is expected to be light grey, but it is white.
  In (32,6), the ground is expected to be light grey, but it is white.
  In (32,7), the ground is expected to be light grey, but it is white.
  In (32,13), the ground is expected to be light grey, but it is white.
  In (32,16), the ground is expected to be white, but it is light grey.
  In (32,20), the ground is expected to be light grey, but it is white.
  In (32,21), the ground is expected to be light grey, but it is white.
  In (32,27), the ground is expected to be light grey, but it is white.
  In (32,29), the ground is expected to be white, but it is light grey.
  In (32,30), the ground is expected to be white, but it is light grey.
  In (32,31), the ground is expected to be white, but it is light grey.
  In (32,32), the ground is expected to be white, but it is light grey.
  In (32,34), the ground is expected to be light grey, but it is white.
  In (32,35), the ground is expected to be light grey, but it is white.
  In (32,38), the ground is expected to be white, but it is light grey.
  In (32,40), the ground is expected to be white, but it is light grey.
  In (32,41), the ground is expected to be light grey, but it is white.
  In (32,48), the ground is expected to be light grey, but it is white.
  In (32,51), the ground is expected to be white, but it is light grey.
  In (32,55), the ground is expected to be light grey, but it is white.
  In (32,56), the ground is expected to be light grey, but it is white.
  In (32,62), the ground is expected to be light grey, but it is white.
  In (33,3), the ground is expected to be light grey, but it is white.
  In (33,10), the ground is expected to be light grey, but it is white.
  In (33,13), the ground is expected to be white, but it is light grey.
  In (33,15), the ground is expected to be white, but it is light grey.
  In (33,26), the ground is expected to be white, but it is light grey.
  In (33,29), the ground is expected to be white, but it is light grey.
  In (33,38), the ground is expected to be light grey, but it is white.
  In (33,39), the ground is expected to be white, but it is light grey.
  In (33,41), the ground is expected to be white, but it is light grey.
  In (33,45), the ground is expected to be light grey, but it is white.
  In (33,48), the ground is expected to be white, but it is light grey.
  In (33,50), the ground is expected to be white, but it is light grey.
  In (33,59), the ground is expected to be light grey, but it is white.
  In (34,2), the ground is expected to be light grey, but it is white.
  In (34,4), the ground is expected to be light grey, but it is white.
  In (34,9), the ground is expected to be light grey, but it is white.
  In (34,11), the ground is expected to be light grey, but it is white.
  In (34,14), the ground is expected to be white, but it is light grey.
  In (34,18), the ground is expected to be light grey, but it is white.
  In (34,27), the ground is expected to be white, but it is light grey.
  In (34,28), the ground is expected to be white, but it is light grey.
  In (34,37), the ground is expected to be light grey, but it is white.
  In (34,41), the ground is expected to be white, but it is light grey.
  In (34,44), the ground is expected to be light grey, but it is white.
  In (34,46), the ground is expected to be light grey, but it is white.
  In (34,49), the ground is expected to be white, but it is light grey.
  In (34,53), the ground is expected to be light grey, but it is white.
  In (34,58), the ground is expected to be light grey, but it is white.
  In (34,60), the ground is expected to be light grey, but it is white.
  In (35,2), the ground is expected to be light grey, but it is white.
  In (35,4), the ground is expected to be light grey, but it is white.
  In (35,9), the ground is expected to be light grey, but it is white.
  In (35,11), the ground is expected to be light grey, but it is white.
  In (35,14), the ground is expected to be white, but it is light grey.
  In (35,18), the ground is expected to be light grey, but it is white.
  In (35,23), the ground is expected to be light grey, but it is white.
  In (35,24), the ground is expected to be white, but it is light grey.
  In (35,25), the ground is expected to be light grey, but it is white.
  In (35,26), the ground is expected to be white, but it is light grey.
  In (35,29), the ground is expected to be white, but it is light grey.
  In (35,30), the ground is expected to be light grey, but it is white.
  In (35,31), the ground is expected to be white, but it is light grey.
  In (35,32), the ground is expected to be light grey, but it is white.
  In (35,37), the ground is expected to be light grey, but it is white.
  In (35,38), the ground is expected to be white, but it is light grey.
  In (35,39), the ground is expected to be light grey, but it is white.
  In (35,40), the ground is expected to be white, but it is light grey.
  In (35,42), the ground is expected to be white, but it is light grey.
  In (35,44), the ground is expected to be light grey, but it is white.
  In (35,46), the ground is expected to be light grey, but it is white.
  In (35,48), the ground is expected to be white, but it is light grey.
  In (35,49), the ground is expected to be white, but it is light grey.
  In (35,50), the ground is expected to be white, but it is light grey.
  In (35,52), the ground is expected to be white, but it is light grey.
  In (35,53), the ground is expected to be light grey, but it is white.
  In (35,58), the ground is expected to be light grey, but it is white.
  In (35,60), the ground is expected to be light grey, but it is white.
  In (36,3), the ground is expected to be light grey, but it is white.
  In (36,10), the ground is expected to be light grey, but it is white.
  In (36,13), the ground is expected to be white, but it is light grey.
  In (36,15), the ground is expected to be white, but it is light grey.
  In (36,23), the ground is expected to be white, but it is light grey.
  In (36,24), the ground is expected to be light grey, but it is white.
  In (36,25), the ground is expected to be white, but it is light grey.
  In (36,27), the ground is expected to be white, but it is light grey.
  In (36,31), the ground is expected to be light grey, but it is white.
  In (36,34), the ground is expected to be white, but it is light grey.
  In (36,36), the ground is expected to be white, but it is light grey.
  In (36,38), the ground is expected to be light grey, but it is white.
  In (36,39), the ground is expected to be white, but it is light grey.
  In (36,41), the ground is expected to be white, but it is light grey.
  In (36,45), the ground is expected to be light grey, but it is white.
  In (36,48), the ground is expected to be white, but it is light grey.
  In (36,49), the ground is expected to be white, but it is light grey.
  In (36,50), the ground is expected to be white, but it is light grey.
  In (36,51), the ground is expected to be white, but it is light grey.
  In (36,59), the ground is expected to be light grey, but it is white.
  In (37,0), the ground is expected to be light grey, but it is white.
  In (37,6), the ground is expected to be light grey, but it is white.
  In (37,7), the ground is expected to be light grey, but it is white.
  In (37,13), the ground is expected to be light grey, but it is white.
  In (37,16), the ground is expected to be white, but it is light grey.
  In (37,20), the ground is expected to be light grey, but it is white.
  In (37,21), the ground is expected to be light grey, but it is white.
  In (37,24), the ground is expected to be white, but it is light grey.
  In (37,26), the ground is expected to be white, but it is light grey.
  In (37,27), the ground is expected to be light grey, but it is white.
  In (37,28), the ground is expected to be light grey, but it is white.
  In (37,33), the ground is expected to be white, but it is light grey.
  In (37,34), the ground is expected to be light grey, but it is white.
  In (37,37), the ground is expected to be white, but it is light grey.
  In (37,38), the ground is expected to be white, but it is light grey.
  In (37,40), the ground is expected to be white, but it is light grey.
  In (37,41), the ground is expected to be light grey, but it is white.
  In (37,48), the ground is expected to be light grey, but it is white.
  In (37,51), the ground is expected to be white, but it is light grey.
  In (37,55), the ground is expected to be light grey, but it is white.
  In (37,56), the ground is expected to be light grey, but it is white.
  In (37,62), the ground is expected to be light grey, but it is white.
  In (38,1), the ground is expected to be light grey, but it is white.
  In (38,5), the ground is expected to be light grey, but it is white.
  In (38,8), the ground is expected to be light grey, but it is white.
  In (38,12), the ground is expected to be light grey, but it is white.
  In (38,13), the ground is expected to be white, but it is light grey.
  In (38,17), the ground is expected to be white, but it is light grey.
  In (38,19), the ground is expected to be light grey, but it is white.
  In (38,22), the ground is expected to be light grey, but it is white.
  In (38,24), the ground is expected to be white, but it is light grey.
  In (38,29), the ground is expected to be light grey, but it is white.
  In (38,33), the ground is expected to be light grey, but it is white.
  In (38,34), the ground is expected to be white, but it is light grey.
  In (38,39), the ground is expected to be white, but it is light grey.
  In (38,40), the ground is expected to be light grey, but it is white.
  In (38,41), the ground is expected to be white, but it is light grey.
  In (38,43), the ground is expected to be light grey, but it is white.
  In (38,47), the ground is expected to be light grey, but it is white.
  In (38,48), the ground is expected to be white, but it is light grey.
  In (38,52), the ground is expected to be white, but it is light grey.
  In (38,54), the ground is expected to be light grey, but it is white.
  In (38,57), the ground is expected to be light grey, but it is white.
  In (38,61), the ground is expected to be light grey, but it is white.
  In (39,0), the ground is expected to be light grey, but it is white.
  In (39,6), the ground is expected to be light grey, but it is white.
  In (39,7), the ground is expected to be light grey, but it is white.
  In (39,13), the ground is expected to be light grey, but it is white.
  In (39,16), the ground is expected to be white, but it is light grey.
  In (39,20), the ground is expected to be light grey, but it is white.
  In (39,21), the ground is expected to be light grey, but it is white.
  In (39,23), the ground is expected to be white, but it is light grey.
  In (39,25), the ground is expected to be white, but it is light grey.
  In (39,28), the ground is expected to be light grey, but it is white.
  In (39,33), the ground is expected to be white, but it is light grey.
  In (39,36), the ground is expected to be white, but it is light grey.
  In (39,37), the ground is expected to be white, but it is light grey.
  In (39,41), the ground is expected to be light grey, but it is white.
  In (39,42), the ground is expected to be light grey, but it is white.
  In (39,48), the ground is expected to be light grey, but it is white.
  In (39,51), the ground is expected to be white, but it is light grey.
  In (39,55), the ground is expected to be light grey, but it is white.
  In (39,56), the ground is expected to be light grey, but it is white.
  In (39,62), the ground is expected to be light grey, but it is white.
  In (40,3), the ground is expected to be light grey, but it is white.
  In (40,10), the ground is expected to be light grey, but it is white.
  In (40,14), the ground is expected to be white, but it is light grey.
  In (40,16), the ground is expected to be white, but it is light grey.
  In (40,17), the ground is expected to be light grey, but it is white.
  In (40,26), the ground is expected to be white, but it is light grey.
  In (40,31), the ground is expected to be light grey, but it is white.
  In (40,33), the ground is expected to be white, but it is light grey.
  In (40,34), the ground is expected to be white, but it is light grey.
  In (40,35), the ground is expected to be white, but it is light grey.
  In (40,36), the ground is expected to be white, but it is light grey.
  In (40,37), the ground is expected to be white, but it is light grey.
  In (40,38), the ground is expected to be light grey, but it is white.
  In (40,45), the ground is expected to be light grey, but it is white.
  In (40,48), the ground is expected to be white, but it is light grey.
  In (40,49), the ground is expected to be white, but it is light grey.
  In (40,50), the ground is expected to be white, but it is light grey.
  In (40,51), the ground is expected to be white, but it is light grey.
  In (40,59), the ground is expected to be light grey, but it is white.
  In (41,2), the ground is expected to be light grey, but it is white.
  In (41,4), the ground is expected to be light grey, but it is white.
  In (41,9), the ground is expected to be light grey, but it is white.
  In (41,11), the ground is expected to be light grey, but it is white.
  In (41,13), the ground is expected to be white, but it is light grey.
  In (41,15), the ground is expected to be white, but it is light grey.
  In (41,16), the ground is expected to be light grey, but it is white.
  In (41,17), the ground is expected to be white, but it is light grey.
  In (41,18), the ground is expected to be light grey, but it is white.
  In (41,27), the ground is expected to be white, but it is light grey.
  In (41,30), the ground is expected to be light grey, but it is white.
  In (41,32), the ground is expected to be light grey, but it is white.
  In (41,34), the ground is expected to be white, but it is light grey.
  In (41,36), the ground is expected to be white, but it is light grey.
  In (41,37), the ground is expected to be light grey, but it is white.
  In (41,39), the ground is expected to be light grey, but it is white.
  In (41,44), the ground is expected to be light grey, but it is white.
  In (41,46), the ground is expected to be light grey, but it is white.
  In (41,48), the ground is expected to be white, but it is light grey.
  In (41,49), the ground is expected to be white, but it is light grey.
  In (41,50), the ground is expected to be white, but it is light grey.
  In (41,52), the ground is expected to be white, but it is light grey.
  In (41,53), the ground is expected to be light grey, but it is white.
  In (41,58), the ground is expected to be light grey, but it is white.
  In (41,60), the ground is expected to be light grey, but it is white.
  In (42,2), the ground is expected to be light grey, but it is white.
  In (42,4), the ground is expected to be light grey, but it is white.
  In (42,9), the ground is expected to be light grey, but it is white.
  In (42,11), the ground is expected to be light grey, but it is white.
  In (42,14), the ground is expected to be white, but it is light grey.
  In (42,18), the ground is expected to be light grey, but it is white.
  In (42,23), the ground is expected to be light grey, but it is white.
  In (42,24), the ground is expected to be white, but it is light grey.
  In (42,25), the ground is expected to be light grey, but it is white.
  In (42,26), the ground is expected to be white, but it is light grey.
  In (42,30), the ground is expected to be light grey, but it is white.
  In (42,32), the ground is expected to be light grey, but it is white.
  In (42,33), the ground is expected to be white, but it is light grey.
  In (42,35), the ground is expected to be white, but it is light grey.
  In (42,39), the ground is expected to be light grey, but it is white.
  In (42,49), the ground is expected to be white, but it is light grey.
  In (42,53), the ground is expected to be light grey, but it is white.
  In (42,58), the ground is expected to be light grey, but it is white.
  In (42,60), the ground is expected to be light grey, but it is white.
  In (43,3), the ground is expected to be light grey, but it is white.
  In (43,10), the ground is expected to be light grey, but it is white.
  In (43,13), the ground is expected to be white, but it is light grey.
  In (43,15), the ground is expected to be white, but it is light grey.
  In (43,26), the ground is expected to be white, but it is light grey.
  In (43,31), the ground is expected to be light grey, but it is white.
  In (43,34), the ground is expected to be white, but it is light grey.
  In (43,36), the ground is expected to be white, but it is light grey.
  In (43,38), the ground is expected to be light grey, but it is white.
  In (43,43), the ground is expected to be white, but it is light grey.
  In (43,47), the ground is expected to be white, but it is light grey.
  In (43,48), the ground is expected to be white, but it is light grey.
  In (43,50), the ground is expected to be white, but it is light grey.
  In (43,59), the ground is expected to be light grey, but it is white.
  In (44,0), the ground is expected to be light grey, but it is white.
  In (44,6), the ground is expected to be light grey, but it is white.
  In (44,7), the ground is expected to be light grey, but it is white.
  In (44,13), the ground is expected to be light grey, but it is white.
  In (44,16), the ground is expected to be white, but it is light grey.
  In (44,20), the ground is expected to be light grey, but it is white.
  In (44,21), the ground is expected to be light grey, but it is white.
  In (44,23), the ground is expected to be white, but it is light grey.
  In (44,25), the ground is expected to be white, but it is light grey.
  In (44,28), the ground is expected to be light grey, but it is white.
  In (44,33), the ground is expected to be white, but it is light grey.
  In (44,36), the ground is expected to be white, but it is light grey.
  In (44,37), the ground is expected to be white, but it is light grey.
  In (44,41), the ground is expected to be light grey, but it is white.
  In (44,42), the ground is expected to be light grey, but it is white.
  In (44,44), the ground is expected to be white, but it is light grey.
  In (44,46), the ground is expected to be white, but it is light grey.
  In (44,48), the ground is expected to be light grey, but it is white.
  In (44,51), the ground is expected to be white, but it is light grey.
  In (44,55), the ground is expected to be light grey, but it is white.
  In (44,56), the ground is expected to be light grey, but it is white.
  In (44,62), the ground is expected to be light grey, but it is white.
  In (45,1), the ground is expected to be light grey, but it is white.
  In (45,5), the ground is expected to be light grey, but it is white.
  In (45,8), the ground is expected to be light grey, but it is white.
  In (45,12), the ground is expected to be light grey, but it is white.
  In (45,15), the ground is expected to be light grey, but it is white.
  In (45,19), the ground is expected to be light grey, but it is white.
  In (45,22), the ground is expected to be light grey, but it is white.
  In (45,24), the ground is expected to be white, but it is light grey.
  In (45,29), the ground is expected to be light grey, but it is white.
  In (45,34), the ground is expected to be white, but it is light grey.
  In (45,35), the ground is expected to be white, but it is light grey.
  In (45,37), the ground is expected to be white, but it is light grey.
  In (45,40), the ground is expected to be light grey, but it is white.
  In (45,45), the ground is expected to be white, but it is light grey.
  In (45,50), the ground is expected to be light grey, but it is white.
  In (45,56), the ground is expected to be white, but it is light grey.
  In (45,57), the ground is expected to be light grey, but it is white.
  In (45,61), the ground is expected to be light grey, but it is white.
  In (46,0), the ground is expected to be light grey, but it is white.
  In (46,6), the ground is expected to be light grey, but it is white.
  In (46,7), the ground is expected to be light grey, but it is white.
  In (46,13), the ground is expected to be light grey, but it is white.
  In (46,14), the ground is expected to be light grey, but it is white.
  In (46,20), the ground is expected to be light grey, but it is white.
  In (46,21), the ground is expected to be light grey, but it is white.
  In (46,23), the ground is expected to be white, but it is light grey.
  In (46,25), the ground is expected to be white, but it is light grey.
  In (46,28), the ground is expected to be light grey, but it is white.
  In (46,35), the ground is expected to be light grey, but it is white.
  In (46,36), the ground is expected to be white, but it is light grey.
  In (46,41), the ground is expected to be light grey, but it is white.
  In (46,42), the ground is expected to be light grey, but it is white.
  In (46,44), the ground is expected to be white, but it is light grey.
  In (46,46), the ground is expected to be white, but it is light grey.
  In (46,48), the ground is expected to be light grey, but it is white.
  In (46,49), the ground is expected to be light grey, but it is white.
  In (46,53), the ground is expected to be white, but it is light grey.
  In (46,56), the ground is expected to be light grey, but it is white.
  In (46,57), the ground is expected to be white, but it is light grey.
  In (46,62), the ground is expected to be light grey, but it is white.
  In (47,3), the ground is expected to be light grey, but it is white.
  In (47,10), the ground is expected to be light grey, but it is white.
  In (47,17), the ground is expected to be light grey, but it is white.
  In (47,26), the ground is expected to be white, but it is light grey.
  In (47,31), the ground is expected to be light grey, but it is white.
  In (47,33), the ground is expected to be white, but it is light grey.
  In (47,35), the ground is expected to be white, but it is light grey.
  In (47,37), the ground is expected to be white, but it is light grey.
  In (47,38), the ground is expected to be light grey, but it is white.
  In (47,44), the ground is expected to be white, but it is light grey.
  In (47,45), the ground is expected to be light grey, but it is white.
  In (47,46), the ground is expected to be white, but it is light grey.
  In (47,52), the ground is expected to be light grey, but it is white.
  In (47,54), the ground is expected to be white, but it is light grey.
  In (47,56), the ground is expected to be white, but it is light grey.
  In (47,59), the ground is expected to be light grey, but it is white.
  In (48,2), the ground is expected to be light grey, but it is white.
  In (48,4), the ground is expected to be light grey, but it is white.
  In (48,9), the ground is expected to be light grey, but it is white.
  In (48,11), the ground is expected to be light grey, but it is white.
  In (48,16), the ground is expected to be light grey, but it is white.
  In (48,18), the ground is expected to be light grey, but it is white.
  In (48,19), the ground is expected to be white, but it is light grey.
  In (48,21), the ground is expected to be white, but it is light grey.
  In (48,23), the ground is expected to be light grey, but it is white.
  In (48,25), the ground is expected to be light grey, but it is white.
  In (48,30), the ground is expected to be light grey, but it is white.
  In (48,32), the ground is expected to be light grey, but it is white.
  In (48,34), the ground is expected to be white, but it is light grey.
  In (48,36), the ground is expected to be white, but it is light grey.
  In (48,37), the ground is expected to be light grey, but it is white.
  In (48,39), the ground is expected to be light grey, but it is white.
  In (48,43), the ground is expected to be white, but it is light grey.
  In (48,44), the ground is expected to be light grey, but it is white.
  In (48,45), the ground is expected to be white, but it is light grey.
  In (48,46), the ground is expected to be light grey, but it is white.
  In (48,47), the ground is expected to be white, but it is light grey.
  In (48,51), the ground is expected to be light grey, but it is white.
  In (48,55), the ground is expected to be white, but it is light grey.
  In (48,57), the ground is expected to be white, but it is light grey.
  In (48,58), the ground is expected to be light grey, but it is white.
  In (48,60), the ground is expected to be light grey, but it is white.
  In (49,2), the ground is expected to be light grey, but it is white.
  In (49,4), the ground is expected to be light grey, but it is white.
  In (49,9), the ground is expected to be light grey, but it is white.
  In (49,11), the ground is expected to be light grey, but it is white.
  In (49,16), the ground is expected to be light grey, but it is white.
  In (49,20), the ground is expected to be white, but it is light grey.
  In (49,22), the ground is expected to be white, but it is light grey.
  In (49,23), the ground is expected to be light grey, but it is white.
  In (49,25), the ground is expected to be light grey, but it is white.
  In (49,30), the ground is expected to be light grey, but it is white.
  In (49,32), the ground is expected to be light grey, but it is white.
  In (49,33), the ground is expected to be white, but it is light grey.
  In (49,34), the ground is expected to be white, but it is light grey.
  In (49,35), the ground is expected to be white, but it is light grey.
  In (49,36), the ground is expected to be white, but it is light grey.
  In (49,39), the ground is expected to be light grey, but it is white.
  In (49,51), the ground is expected to be light grey, but it is white.
  In (49,53), the ground is expected to be light grey, but it is white.
  In (49,54), the ground is expected to be white, but it is light grey.
  In (49,56), the ground is expected to be white, but it is light grey.
  In (49,58), the ground is expected to be light grey, but it is white.
  In (49,60), the ground is expected to be light grey, but it is white.
  In (50,3), the ground is expected to be light grey, but it is white.
  In (50,10), the ground is expected to be light grey, but it is white.
  In (50,17), the ground is expected to be light grey, but it is white.
  In (50,19), the ground is expected to be white, but it is light grey.
  In (50,21), the ground is expected to be white, but it is light grey.
  In (50,24), the ground is expected to be light grey, but it is white.
  In (50,31), the ground is expected to be light grey, but it is white.
  In (50,33), the ground is expected to be white, but it is light grey.
  In (50,34), the ground is expected to be white, but it is light grey.
  In (50,35), the ground is expected to be white, but it is light grey.
  In (50,36), the ground is expected to be white, but it is light grey.
  In (50,37), the ground is expected to be white, but it is light grey.
  In (50,38), the ground is expected to be light grey, but it is white.
  In (50,43), the ground is expected to be white, but it is light grey.
  In (50,47), the ground is expected to be white, but it is light grey.
  In (50,52), the ground is expected to be light grey, but it is white.
  In (50,54), the ground is expected to be white, but it is light grey.
  In (50,56), the ground is expected to be white, but it is light grey.
  In (50,59), the ground is expected to be light grey, but it is white.
  In (51,0), the ground is expected to be light grey, but it is white.
  In (51,6), the ground is expected to be light grey, but it is white.
  In (51,7), the ground is expected to be light grey, but it is white.
  In (51,13), the ground is expected to be light grey, but it is white.
  In (51,14), the ground is expected to be light grey, but it is white.
  In (51,18), the ground is expected to be white, but it is light grey.
  In (51,21), the ground is expected to be light grey, but it is white.
  In (51,22), the ground is expected to be white, but it is light grey.
  In (51,27), the ground is expected to be light grey, but it is white.
  In (51,28), the ground is expected to be light grey, but it is white.
  In (51,29), the ground is expected to be white, but it is light grey.
  In (51,31), the ground is expected to be white, but it is light grey.
  In (51,35), the ground is expected to be light grey, but it is white.
  In (51,36), the ground is expected to be white, but it is light grey.
