  In (0,1), the ground is expected to be white, but it is light grey.
  In (24,46), the ground is expected to be white, but it is light grey.
  In (24,47), the ground is expected to be light grey, but it is white.
  In (24,49), the ground is expected to be white, but it is light grey.
  In (24,50), the ground is expected to be light grey, but it is white.
  In (24,51), the ground is expected to be white, but it is light grey.
  In (24,56), the ground is expected to be white, but it is light grey.
  In (24,57), the ground is expected to be light grey, but it is white.
  In (24,59), the ground is expected to be white, but it is light grey.
  In (25,0), the ground is expected to be light grey, but it is white.
  In (25,1), the ground is expected to be white, but it is light grey.
  In (25,3), the ground is expected to be white, but it is light grey.
  In (25,6), the ground is expected to be light grey, but it is white.
  In (25,7), the ground is expected to be light grey, but it is white.
  In (25,13), the ground is expected to be light grey, but it is white.
  In (25,14), the ground is expected to be light grey, but it is white.
  In (25,20), the ground is expected to be light grey, but it is white.
  In (25,21), the ground is expected to be light grey, but it is white.
  In (25,27), the ground is expected to be light grey, but it is white.
  In (25,28), the ground is expected to be light grey, but it is white.
  In (25,34), the ground is expected to be light grey, but it is white.
  In (25,35), the ground is expected to be light grey, but it is white.
  In (25,39), the ground is expected to be white, but it is light grey.
  In (25,42), the ground is expected to be light grey, but it is white.
  In (25,44), the ground is expected to be white, but it is light grey.
  In (25,46), the ground is expected to be white, but it is light grey.
  In (25,48), the ground is expected to be light grey, but it is white.
  In (25,51), the ground is expected to be white, but it is light grey.
  In (25,54), the ground is expected to be white, but it is light grey.
  In (25,55), the ground is expected to be light grey, but it is white.
  In (25,59), the ground is expected to be white, but it is light grey.
  In (25,61), the ground is expected to be white, but it is light grey.
  In (25,62), the ground is expected to be light grey, but it is white.
  In (26,0), the ground is expected to be white, but it is light grey.
  In (26,2), the ground is expected to be white, but it is light grey.
  In (26,3), the ground is expected to be light grey, but it is white.
  In (26,4), the ground is expected to be white, but it is light grey.
  In (26,10), the ground is expected to be light grey, but it is white.
  In (26,17), the ground is expected to be light grey, but it is white.
  In (26,24), the ground is expected to be light grey, but it is white.
  In (26,31), the ground is expected to be light grey, but it is white.
  In (26,40), the ground is expected to be white, but it is light grey.
  In (26,42), the ground is expected to be white, but it is light grey.
  In (26,43), the ground is expected to be white, but it is light grey.
  In (26,47), the ground is expected to be white, but it is light grey.
  In (26,48), the ground is expected to be white, but it is light grey.
  In (26,50), the ground is expected to be white, but it is light grey.
  In (26,53), the ground is expected to be white, but it is light grey.
  In (26,55), the ground is expected to be white, but it is light grey.
  In (26,57), the ground is expected to be white, but it is light grey.
  In (26,58), the ground is expected to be white, but it is light grey.
  In (26,59), the ground is expected to be light grey, but it is white.
  In (26,60), the ground is expected to be white, but it is light grey.
  In (26,62), the ground is expected to be white, but it is light grey.
  In (27,1), the ground is expected to be white, but it is light grey.
  In (27,2), the ground is expected to be light grey, but it is white.
  In (27,3), the ground is expected to be white, but it is light grey.
  In (27,4), the ground is expected to be light grey, but it is white.
  In (27,9), the ground is expected to be light grey, but it is white.
  In (27,11), the ground is expected to be light grey, but it is white.
  In (27,16), the ground is expected to be light grey, but it is white.
  In (27,18), the ground is expected to be light grey, but it is white.
  In (27,23), the ground is expected to be light grey, but it is white.
  In (27,25), the ground is expected to be light grey, but it is white.
  In (27,30), the ground is expected to be light grey, but it is white.
  In (27,32), the ground is expected to be light grey, but it is white.
  In (27,37), the ground is expected to be light grey, but it is white.
  In (27,41), the ground is expected to be white, but it is light grey.
  In (27,49), the ground is expected to be white, but it is light grey.
  In (27,53), the ground is expected to be light grey, but it is white.
  In (27,54), the ground is expected to be white, but it is light grey.
  In (27,56), the ground is expected to be white, but it is light grey.
  In (27,58), the ground is expected to be light grey, but it is white.
  In (27,59), the ground is expected to be white, but it is light grey.
  In (27,60), the ground is expected to be light grey, but it is white.
  In (27,61), the ground is expected to be white, but it is light grey.
  In (28,0), the ground is expected to be white, but it is light grey.
  In (28,9), the ground is expected to be light grey, but it is white.
  In (28,11), the ground is expected to be light grey, but it is white.
  In (28,16), the ground is expected to be light grey, but it is white.
  In (28,18), the ground is expected to be light grey, but it is white.
  In (28,23), the ground is expected to be light grey, but it is white.
  In (28,25), the ground is expected to be light grey, but it is white.
  In (28,30), the ground is expected to be light grey, but it is white.
  In (28,32), the ground is expected to be light grey, but it is white.
  In (28,37), the ground is expected to be light grey, but it is white.
  In (28,38), the ground is expected to be white, but it is light grey.
  In (28,39), the ground is expected to be light grey, but it is white.
  In (28,40), the ground is expected to be white, but it is light grey.
  In (28,42), the ground is expected to be white, but it is light grey.
  In (28,43), the ground is expected to be white, but it is light grey.
  In (28,44), the ground is expected to be light grey, but it is white.
  In (28,45), the ground is expected to be white, but it is light grey.
  In (28,46), the ground is expected to be light grey, but it is white.
  In (28,47), the ground is expected to be white, but it is light grey.
  In (28,48), the ground is expected to be white, but it is light grey.
  In (28,50), the ground is expected to be white, but it is light grey.
  In (28,51), the ground is expected to be light grey, but it is white.
  In (28,52), the ground is expected to be white, but it is light grey.
  In (28,55), the ground is expected to be white, but it is light grey.
  In (28,57), the ground is expected to be white, but it is light grey.
  In (28,62), the ground is expected to be white, but it is light grey.
  In (29,1), the ground is expected to be white, but it is light grey.
  In (29,10), the ground is expected to be light grey, but it is white.
  In (29,17), the ground is expected to be light grey, but it is white.
  In (29,24), the ground is expected to be light grey, but it is white.
  In (29,31), the ground is expected to be light grey, but it is white.
  In (29,38), the ground is expected to be light grey, but it is white.
  In (29,39), the ground is expected to be white, but it is light grey.
  In (29,41), the ground is expected to be white, but it is light grey.
  In (29,44), the ground is expected to be white, but it is light grey.
  In (29,45), the ground is expected to be light grey, but it is white.
  In (29,46), the ground is expected to be white, but it is light grey.
  In (29,49), the ground is expected to be white, but it is light grey.
  In (29,51), the ground is expected to be white, but it is light grey.
  In (29,52), the ground is expected to be light grey, but it is white.
  In (29,54), the ground is expected to be white, but it is light grey.
  In (29,56), the ground is expected to be white, but it is light grey.
  In (29,61), the ground is expected to be white, but it is light grey.
  In (30,0), the ground is expected to be light grey, but it is white.
  In (30,6), the ground is expected to be light grey, but it is white.
  In (30,7), the ground is expected to be light grey, but it is white.
  In (30,13), the ground is expected to be light grey, but it is white.
  In (30,14), the ground is expected to be light grey, but it is white.
  In (30,20), the ground is expected to be light grey, but it is white.
  In (30,21), the ground is expected to be light grey, but it is white.
  In (30,27), the ground is expected to be light grey, but it is white.
  In (30,28), the ground is expected to be light grey, but it is white.
  In (30,34), the ground is expected to be light grey, but it is white.
  In (30,35), the ground is expected to be light grey, but it is white.
  In (30,39), the ground is expected to be white, but it is light grey.
  In (30,42), the ground is expected to be light grey, but it is white.
  In (30,44), the ground is expected to be white, but it is light grey.
  In (30,46), the ground is expected to be white, but it is light grey.
  In (30,48), the ground is expected to be light grey, but it is white.
  In (30,51), the ground is expected to be white, but it is light grey.
  In (30,54), the ground is expected to be white, but it is light grey.
  In (30,55), the ground is expected to be light grey, but it is white.
  In (30,59), the ground is expected to be white, but it is light grey.
  In (30,61), the ground is expected to be white, but it is light grey.
  In (30,62), the ground is expected to be light grey, but it is white.
  In (31,1), the ground is expected to be light grey, but it is white.
  In (31,5), the ground is expected to be light grey, but it is white.
  In (31,8), the ground is expected to be light grey, but it is white.
  In (31,12), the ground is expected to be light grey, but it is white.
  In (31,15), the ground is expected to be light grey, but it is white.
  In (31,19), the ground is expected to be light grey, but it is white.
  In (31,22), the ground is expected to be light grey, but it is white.
  In (31,26), the ground is expected to be light grey, but it is white.
  In (31,29), the ground is expected to be light grey, but it is white.
  In (31,33), the ground is expected to be light grey, but it is white.
  In (31,36), the ground is expected to be light grey, but it is white.
  In (31,38), the ground is expected to be white, but it is light grey.
  In (31,42), the ground is expected to be white, but it is light grey.
  In (31,45), the ground is expected to be white, but it is light grey.
  In (31,48), the ground is expected to be white, but it is light grey.
  In (31,52), the ground is expected to be white, but it is light grey.
  In (31,53), the ground is expected to be white, but it is light grey.
  In (31,54), the ground is expected to be light grey, but it is white.
  In (31,55), the ground is expected to be white, but it is light grey.
  In (31,58), the ground is expected to be white, but it is light grey.
  In (31,60), the ground is expected to be white, but it is light grey.
  In (31,61), the ground is expected to be light grey, but it is white.
  In (31,62), the ground is expected to be white, but it is light grey.
  In (32,0), the ground is expected to be light grey, but it is white.
  In (32,6), the ground is expected to be light grey, but it is white.
  In (32,7), the ground is expected to be light grey, but it is white.
  In (32,13), the ground is expected to be light grey, but it is white.
  In (32,14), the ground is expected to be light grey, but it is white.
  In (32,20), the ground is expected to be light grey, but it is white.
  In (32,21), the ground is expected to be light grey, but it is white.
  In (32,27), the ground is expected to be light grey, but it is white.
  In (32,28), the ground is expected to be light grey, but it is white.
  In (32,34), the ground is expected to be light grey, but it is white.
  In (32,35), the ground is expected to be light grey, but it is white.
  In (32,39), the ground is expected to be white, but it is light grey.
  In (32,42), the ground is expected to be light grey, but it is white.
  In (32,44), the ground is expected to be white, but it is light grey.
  In (32,46), the ground is expected to be white, but it is light grey.
  In (32,48), the ground is expected to be light grey, but it is white.
  In (32,51), the ground is expected to be white, but it is light grey.
  In (32,54), the ground is expected to be white, but it is light grey.
  In (32,55), the ground is expected to be light grey, but it is white.
  In (32,59), the ground is expected to be white, but it is light grey.
  In (32,61), the ground is expected to be white, but it is light grey.
  In (32,62), the ground is expected to be light grey, but it is white.
  In (33,3), the ground is expected to be light grey, but it is white.
  In (33,10), the ground is expected to be light grey, but it is white.
  In (33,17), the ground is expected to be light grey, but it is white.
  In (33,24), the ground is expected to be light grey, but it is white.
  In (33,31), the ground is expected to be light grey, but it is white.
  In (33,40), the ground is expected to be white, but it is light grey.
  In (33,42), the ground is expected to be white, but it is light grey.
  In (33,43), the ground is expected to be white, but it is light grey.
  In (33,47), the ground is expected to be white, but it is light grey.
  In (33,48), the ground is expected to be white, but it is light grey.
  In (33,50), the ground is expected to be white, but it is light grey.
  In (33,53), the ground is expected to be white, but it is light grey.
  In (33,55), the ground is expected to be white, but it is light grey.
  In (33,57), the ground is expected to be white, but it is light grey.
  In (33,58), the ground is expected to be white, but it is light grey.
  In (33,59), the ground is expected to be light grey, but it is white.
  In (33,60), the ground is expected to be white, but it is light grey.
  In (33,62), the ground is expected to be white, but it is light grey.
  In (34,2), the ground is expected to be light grey, but it is white.
  In (34,4), the ground is expected to be light grey, but it is white.
  In (34,9), the ground is expected to be light grey, but it is white.
  In (34,11), the ground is expected to be light grey, but it is white.
  In (34,16), the ground is expected to be light grey, but it is white.
  In (34,18), the ground is expected to be light grey, but it is white.
  In (34,23), the ground is expected to be light grey, but it is white.
  In (34,25), the ground is expected to be light grey, but it is white.
  In (34,30), the ground is expected to be light grey, but it is white.
  In (34,32), the ground is expected to be light grey, but it is white.
  In (34,37), the ground is expected to be light grey, but it is white.
  In (34,41), the ground is expected to be white, but it is light grey.
  In (34,49), the ground is expected to be white, but it is light grey.
  In (34,53), the ground is expected to be light grey, but it is white.
  In (34,54), the ground is expected to be white, but it is light grey.
  In (34,56), the ground is expected to be white, but it is light grey.
  In (34,58), the ground is expected to be light grey, but it is white.
  In (34,59), the ground is expected to be white, but it is light grey.
  In (34,60), the ground is expected to be light grey, but it is white.
  In (34,61), the ground is expected to be white, but it is light grey.
  In (35,2), the ground is expected to be light grey, but it is white.
  In (35,4), the ground is expected to be light grey, but it is white.
  In (35,9), the ground is expected to be light grey, but it is white.
  In (35,11), the ground is expected to be light grey, but it is white.
  In (35,16), the ground is expected to be light grey, but it is white.
  In (35,18), the ground is expected to be light grey, but it is white.
  In (35,23), the ground is expected to be light grey, but it is white.
  In (35,25), the ground is expected to be light grey, but it is white.
  In (35,30), the ground is expected to be light grey, but it is white.
  In (35,32), the ground is expected to be light grey, but it is white.
  In (35,37), the ground is expected to be light grey, but it is white.
  In (35,41), the ground is expected to be white, but it is light grey.
  In (35,49), the ground is expected to be white, but it is light grey.
  In (35,53), the ground is expected to be light grey, but it is white.
  In (35,54), the ground is expected to be white, but it is light grey.
  In (35,56), the ground is expected to be white, but it is light grey.
  In (35,58), the ground is expected to be light grey, but it is white.
  In (35,59), the ground is expected to be white, but it is light grey.
  In (35,60), the ground is expected to be light grey, but it is white.
  In (35,61), the ground is expected to be white, but it is light grey.
  In (36,3), the ground is expected to be light grey, but it is white.
  In (36,10), the ground is expected to be light grey, but it is white.
  In (36,17), the ground is expected to be light grey, but it is white.
  In (36,24), the ground is expected to be light grey, but it is white.
  In (36,31), the ground is expected to be light grey, but it is white.
  In (36,40), the ground is expected to be white, but it is light grey.
  In (36,42), the ground is expected to be white, but it is light grey.
  In (36,43), the ground is expected to be white, but it is light grey.
  In (36,47), the ground is expected to be white, but it is light grey.
  In (36,48), the ground is expected to be white, but it is light grey.
  In (36,50), the ground is expected to be white, but it is light grey.
  In (36,53), the ground is expected to be white, but it is light grey.
  In (36,55), the ground is expected to be white, but it is light grey.
  In (36,57), the ground is expected to be white, but it is light grey.
  In (36,58), the ground is expected to be white, but it is light grey.
  In (36,59), the ground is expected to be light grey, but it is white.
  In (36,60), the ground is expected to be white, but it is light grey.
  In (36,62), the ground is expected to be white, but it is light grey.
  In (37,0), the ground is expected to be light grey, but it is white.
  In (37,6), the ground is expected to be light grey, but it is white.
  In (37,7), the ground is expected to be light grey, but it is white.
  In (37,13), the ground is expected to be light grey, but it is white.
  In (37,14), the ground is expected to be light grey, but it is white.
  In (37,20), the ground is expected to be light grey, but it is white.
  In (37,21), the ground is expected to be light grey, but it is white.
  In (37,27), the ground is expected to be light grey, but it is white.
  In (37,28), the ground is expected to be light grey, but it is white.
  In (37,34), the ground is expected to be light grey, but it is white.
  In (37,35), the ground is expected to be light grey, but it is white.
  In (37,39), the ground is expected to be white, but it is light grey.
  In (37,42), the ground is expected to be light grey, but it is white.
  In (37,44), the ground is expected to be white, but it is light grey.
  In (37,46), the ground is expected to be white, but it is light grey.
  In (37,48), the ground is expected to be light grey, but it is white.
  In (37,51), the ground is expected to be white, but it is light grey.
  In (37,54), the ground is expected to be white, but it is light grey.
  In (37,55), the ground is expected to be light grey, but it is white.
  In (37,59), the ground is expected to be white, but it is light grey.
  In (37,61), the ground is expected to be white, but it is light grey.
  In (37,62), the ground is expected to be light grey, but it is white.
  In (38,1), the ground is expected to be light grey, but it is white.
  In (38,5), the ground is expected to be light grey, but it is white.
  In (38,8), the ground is expected to be light grey, but it is white.
  In (38,12), the ground is expected to be light grey, but it is white.
  In (38,15), the ground is expected to be light grey, but it is white.
  In (38,19), the ground is expected to be light grey, but it is white.
  In (38,22), the ground is expected to be light grey, but it is white.
  In (38,26), the ground is expected to be light grey, but it is white.
  In (38,29), the ground is expected to be light grey, but it is white.
  In (38,33), the ground is expected to be light grey, but it is white.
  In (38,36), the ground is expected to be light grey, but it is white.
  In (38,38), the ground is expected to be white, but it is light grey.
  In (38,42), the ground is expected to be white, but it is light grey.
  In (38,45), the ground is expected to be white, but it is light grey.
  In (38,48), the ground is expected to be white, but it is light grey.
  In (38,52), the ground is expected to be white, but it is light grey.
  In (38,53), the ground is expected to be white, but it is light grey.
  In (38,54), the ground is expected to be light grey, but it is white.
  In (38,55), the ground is expected to be white, but it is light grey.
  In (38,58), the ground is expected to be white, but it is light grey.
  In (38,60), the ground is expected to be white, but it is light grey.
  In (38,61), the ground is expected to be light grey, but it is white.
  In (38,62), the ground is expected to be white, but it is light grey.
  In (39,0), the ground is expected to be light grey, but it is white.
  In (39,6), the ground is expected to be light grey, but it is white.
  In (39,7), the ground is expected to be light grey, but it is white.
  In (39,13), the ground is expected to be light grey, but it is white.
  In (39,14), the ground is expected to be light grey, but it is white.
  In (39,20), the ground is expected to be light grey, but it is white.
  In (39,21), the ground is expected to be light grey, but it is white.
  In (39,27), the ground is expected to be light grey, but it is white.
  In (39,28), the ground is expected to be light grey, but it is white.
  In (39,34), the ground is expected to be light grey, but it is white.
  In (39,35), the ground is expected to be light grey, but it is white.
  In (39,39), the ground is expected to be white, but it is light grey.
  In (39,42), the ground is expected to be light grey, but it is white.
  In (39,44), the ground is expected to be white, but it is light grey.
  In (39,46), the ground is expected to be white, but it is light grey.
  In (39,48), the ground is expected to be light grey, but it is white.
  In (39,51), the ground is expected to be white, but it is light grey.
  In (39,54), the ground is expected to be white, but it is light grey.
  In (39,55), the ground is expected to be light grey, but it is white.
  In (39,59), the ground is expected to be white, but it is light grey.
  In (39,61), the ground is expected to be white, but it is light grey.
  In (39,62), the ground is expected to be light grey, but it is white.
  In (40,3), the ground is expected to be light grey, but it is white.
  In (40,10), the ground is expected to be light grey, but it is white.
  In (40,17), the ground is expected to be light grey, but it is white.
  In (40,24), the ground is expected to be light grey, but it is white.
  In (40,31), the ground is expected to be light grey, but it is white.
  In (40,38), the ground is expected to be light grey, but it is white.
  In (40,39), the ground is expected to be white, but it is light grey.
  In (40,41), the ground is expected to be white, but it is light grey.
  In (40,44), the ground is expected to be white, but it is light grey.
  In (40,45), the ground is expected to be light grey, but it is white.
  In (40,46), the ground is expected to be white, but it is light grey.
  In (40,49), the ground is expected to be white, but it is light grey.
  In (40,51), the ground is expected to be white, but it is light grey.
  In (40,52), the ground is expected to be light grey, but it is white.
  In (40,54), the ground is expected to be white, but it is light grey.
  In (40,56), the ground is expected to be white, but it is light grey.
  In (40,61), the ground is expected to be white, but it is light grey.
  In (41,2), the ground is expected to be light grey, but it is white.
  In (41,4), the ground is expected to be light grey, but it is white.
  In (41,9), the ground is expected to be light grey, but it is white.
  In (41,11), the ground is expected to be light grey, but it is white.
  In (41,16), the ground is expected to be light grey, but it is white.
  In (41,18), the ground is expected to be light grey, but it is white.
  In (41,23), the ground is expected to be light grey, but it is white.
  In (41,25), the ground is expected to be light grey, but it is white.
  In (41,30), the ground is expected to be light grey, but it is white.
  In (41,32), the ground is expected to be light grey, but it is white.
  In (41,37), the ground is expected to be light grey, but it is white.
  In (41,38), the ground is expected to be white, but it is light grey.
  In (41,39), the ground is expected to be light grey, but it is white.
  In (41,40), the ground is expected to be white, but it is light grey.
  In (41,42), the ground is expected to be white, but it is light grey.
  In (41,43), the ground is expected to be white, but it is light grey.
  In (41,44), the ground is expected to be light grey, but it is white.
  In (41,45), the ground is expected to be white, but it is light grey.
  In (41,46), the ground is expected to be light grey, but it is white.
  In (41,47), the ground is expected to be white, but it is light grey.
  In (41,48), the ground is expected to be white, but it is light grey.
  In (41,50), the ground is expected to be white, but it is light grey.
  In (41,51), the ground is expected to be light grey, but it is white.
  In (41,52), the ground is expected to be white, but it is light grey.
  In (41,55), the ground is expected to be white, but it is light grey.
  In (41,57), the ground is expected to be white, but it is light grey.
  In (41,62), the ground is expected to be white, but it is light grey.
  In (42,2), the ground is expected to be light grey, but it is white.
  In (42,4), the ground is expected to be light grey, but it is white.
  In (42,9), the ground is expected to be light grey, but it is white.
  In (42,11), the ground is expected to be light grey, but it is white.
  In (42,16), the ground is expected to be light grey, but it is white.
  In (42,18), the ground is expected to be light grey, but it is white.
  In (42,23), the ground is expected to be light grey, but it is white.
  In (42,25), the ground is expected to be light grey, but it is white.
  In (42,30), the ground is expected to be light grey, but it is white.
  In (42,32), the ground is expected to be light grey, but it is white.
  In (42,37), the ground is expected to be light grey, but it is white.
  In (42,41), the ground is expected to be white, but it is light grey.
  In (42,49), the ground is expected to be white, but it is light grey.
  In (42,53), the ground is expected to be light grey, but it is white.
  In (42,54), the ground is expected to be white, but it is light grey.
  In (42,56), the ground is expected to be white, but it is light grey.
  In (42,58), the ground is expected to be light grey, but it is white.
  In (42,59), the ground is expected to be white, but it is light grey.
  In (42,60), the ground is expected to be light grey, but it is white.
  In (42,61), the ground is expected to be white, but it is light grey.
  In (43,3), the ground is expected to be light grey, but it is white.
  In (43,10), the ground is expected to be light grey, but it is white.
  In (43,17), the ground is expected to be light grey, but it is white.
  In (43,24), the ground is expected to be light grey, but it is white.
  In (43,31), the ground is expected to be light grey, but it is white.
  In (43,40), the ground is expected to be white, but it is light grey.
  In (43,42), the ground is expected to be white, but it is light grey.
  In (43,43), the ground is expected to be white, but it is light grey.
  In (43,47), the ground is expected to be white, but it is light grey.
  In (43,48), the ground is expected to be white, but it is light grey.
  In (43,50), the ground is expected to be white, but it is light grey.
  In (43,53), the ground is expected to be white, but it is light grey.
  In (43,55), the ground is expected to be white, but it is light grey.
  In (43,57), the ground is expected to be white, but it is light grey.
  In (43,58), the ground is expected to be white, but it is light grey.
  In (43,59), the ground is expected to be light grey, but it is white.
  In (43,60), the ground is expected to be white, but it is light grey.
  In (43,62), the ground is expected to be white, but it is light grey.
  In (44,0), the ground is expected to be light grey, but it is white.
  In (44,6), the ground is expected to be light grey, but it is white.
  In (44,7), the ground is expected to be light grey, but it is white.
  In (44,13), the ground is expected to be light grey, but it is white.
  In (44,14), the ground is expected to be light grey, but it is white.
  In (44,20), the ground is expected to be light grey, but it is white.
  In (44,21), the ground is expected to be light grey, but it is white.
  In (44,27), the ground is expected to be light grey, but it is white.
  In (44,28), the ground is expected to be light grey, but it is white.
  In (44,34), the ground is expected to be light grey, but it is white.
  In (44,35), the ground is expected to be light grey, but it is white.
  In (44,39), the ground is expected to be white, but it is light grey.
  In (44,42), the ground is expected to be light grey, but it is white.
  In (44,44), the ground is expected to be white, but it is light grey.
  In (44,46), the ground is expected to be white, but it is light grey.
  In (44,48), the ground is expected to be light grey, but it is white.
  In (44,51), the ground is expected to be white, but it is light grey.
  In (44,54), the ground is expected to be white, but it is light grey.
  In (44,55), the ground is expected to be light grey, but it is white.
  In (44,59), the ground is expected to be white, but it is light grey.
  In (44,61), the ground is expected to be white, but it is light grey.
  In (44,62), the ground is expected to be light grey, but it is white.
  In (45,1), the ground is expected to be light grey, but it is white.
  In (45,5), the ground is expected to be light grey, but it is white.
  In (45,8), the ground is expected to be light grey, but it is white.
  In (45,12), the ground is expected to be light grey, but it is white.
  In (45,15), the ground is expected to be light grey, but it is white.
  In (45,19), the ground is expected to be light grey, but it is white.
  In (45,22), the ground is expected to be light grey, but it is white.
  In (45,26), the ground is expected to be light grey, but it is white.
  In (45,29), the ground is expected to be light grey, but it is white.
  In (45,33), the ground is expected to be light grey, but it is white.
  In (45,36), the ground is expected to be light grey, but it is white.
  In (45,40), the ground is expected to be light grey, but it is white.
  In (45,43), the ground is expected to be light grey, but it is white.
  In (45,47), the ground is expected to be light grey, but it is white.
  In (45,50), the ground is expected to be light grey, but it is white.
  In (45,54), the ground is expected to be light grey, but it is white.
  In (45,57), the ground is expected to be light grey, but it is white.
  In (45,61), the ground is expected to be light grey, but it is white.
  In (46,0), the ground is expected to be light grey, but it is white.
  In (46,6), the ground is expected to be light grey, but it is white.
  In (46,7), the ground is expected to be light grey, but it is white.
  In (46,13), the ground is expected to be light grey, but it is white.
  In (46,14), the ground is expected to be light grey, but it is white.
  In (46,20), the ground is expected to be light grey, but it is white.
  In (46,21), the ground is expected to be light grey, but it is white.
  In (46,27), the ground is expected to be light grey, but it is white.
  In (46,28), the ground is expected to be light grey, but it is white.
  In (46,34), the ground is expected to be light grey, but it is white.
  In (46,35), the ground is expected to be light grey, but it is white.
  In (46,41), the ground is expected to be light grey, but it is white.
  In (46,42), the ground is expected to be light grey, but it is white.
  In (46,48), the ground is expected to be light grey, but it is white.
  In (46,49), the ground is expected to be light grey, but it is white.
  In (46,55), the ground is expected to be light grey, but it is white.
  In (46,56), the ground is expected to be light grey, but it is white.
  In (46,62), the ground is expected to be light grey, but it is white.
  In (47,3), the ground is expected to be light grey, but it is white.
  In (47,10), the ground is expected to be light grey, but it is white.
  In (47,17), the ground is expected to be light grey, but it is white.
  In (47,24), the ground is expected to be light grey, but it is white.
  In (47,31), the ground is expected to be light grey, but it is white.
  In (47,38), the ground is expected to be light grey, but it is white.
  In (47,45), the ground is expected to be light grey, but it is white.
  In (47,52), the ground is expected to be light grey, but it is white.
  In (47,59), the ground is expected to be light grey, but it is white.
  In (48,2), the ground is expected to be light grey, but it is white.
  In (48,4), the ground is expected to be light grey, but it is white.
  In (48,9), the ground is expected to be light grey, but it is white.
  In (48,11), the ground is expected to be light grey, but it is white.
  In (48,16), the ground is expected to be light grey, but it is white.
  In (48,18), the ground is expected to be light grey, but it is white.
  In (48,23), the ground is expected to be light grey, but it is white.
  In (48,25), the ground is expected to be light grey, but it is white.
  In (48,30), the ground is expected to be light grey, but it is white.
  In (48,32), the ground is expected to be light grey, but it is white.
  In (48,37), the ground is expected to be light grey, but it is white.
  In (48,39), the ground is expected to be light grey, but it is white.
  In (48,44), the ground is expected to be light grey, but it is white.
  In (48,46), the ground is expected to be light grey, but it is white.
  In (48,51), the ground is expected to be light grey, but it is white.
  In (48,53), the ground is expected to be light grey, but it is white.
  In (48,58), the ground is expected to be light grey, but it is white.
  In (48,60), the ground is expected to be light grey, but it is white.
  In (49,2), the ground is expected to be light grey, but it is white.
  In (49,4), the ground is expected to be light grey, but it is white.
  In (49,9), the ground is expected to be light grey, but it is white.
  In (49,11), the ground is expected to be light grey, but it is white.
  In (49,16), the ground is expected to be light grey, but it is white.
  In (49,18), the ground is expected to be light grey, but it is white.
  In (49,23), the ground is expected to be light grey, but it is white.
  In (49,25), the ground is expected to be light grey, but it is white.
  In (49,30), the ground is expected to be light grey, but it is white.
  In (49,32), the ground is expected to be light grey, but it is white.
  In (49,37), the ground is expected to be light grey, but it is white.
  In (49,39), the ground is expected to be light grey, but it is white.
  In (49,44), the ground is expected to be light grey, but it is white.
  In (49,46), the ground is expected to be light grey, but it is white.
  In (49,51), the ground is expected to be light grey, but it is white.
  In (49,53), the ground is expected to be light grey, but it is white.
  In (49,58), the ground is expected to be light grey, but it is white.
  In (49,60), the ground is expected to be light grey, but it is white.
  In (50,3), the ground is expected to be light grey, but it is white.
  In (50,10), the ground is expected to be light grey, but it is white.
  In (50,17), the ground is expected to be light grey, but it is white.
  In (50,24), the ground is expected to be light grey, but it is white.
  In (50,31), the ground is expected to be light grey, but it is white.
  In (50,38), the ground is expected to be light grey, but it is white.
  In (50,45), the ground is expected to be light grey, but it is white.
  In (50,52), the ground is expected to be light grey, but it is white.
  In (50,59), the ground is expected to be light grey, but it is white.
  In (51,0), the ground is expected to be light grey, but it is white.
  In (51,6), the ground is expected to be light grey, but it is white.
  In (51,7), the ground is expected to be light grey, but it is white.
  In (51,13), the ground is expected to be light grey, but it is white.
  In (51,14), the ground is expected to be light grey, but it is white.
  In (51,20), the ground is expected to be light grey, but it is white.
  In (51,21), the ground is expected to be light grey, but it is white.
  In (51,27), the ground is expected to be light grey, but it is white.
  In (51,28), the ground is expected to be light grey, but it is white.
  In (51,34), the ground is expected to be light grey, but it is white.
  In (51,35), the ground is expected to be light grey, but it is white.
  In (51,41), the ground is expected to be light grey, but it is white.
  In (51,42), the ground is expected to be light grey, but it is white.
  In (51,48), the ground is expected to be light grey, but it is white.
  In (51,49), the ground is expected to be light grey, but it is white.
  In (51,55), the ground is expected to be light grey, but it is white.
  In (51,56), the ground is expected to be light grey, but it is white.
  In (51,62), the ground is expected to be light grey, but it is white.
  In (52,1), the ground is expected to be light grey, but it is white.
  In (52,5), the ground is expected to be light grey, but it is white.
  In (52,8), the ground is expected to be light grey, but it is white.
  In (52,12), the ground is expected to be light grey, but it is white.
  In (52,15), the ground is expected to be light grey, but it is white.
  In (52,19), the ground is expected to be light grey, but it is white.
  In (52,22), the ground is expected to be light grey, but it is white.
  In (52,26), the ground is expected to be light grey, but it is white.
  In (52,29), the ground is expected to be light grey, but it is white.
  In (52,33), the ground is expected to be light grey, but it is white.
  In (52,36), the ground is expected to be light grey, but it is white.
  In (52,40), the ground is expected to be light grey, but it is white.
  In (52,43), the ground is expected to be light grey, but it is white.
  In (52,47), the ground is expected to be light grey, but it is white.
  In (52,50), the ground is expected to be light grey, but it is white.
  In (52,54), the ground is expected to be light grey, but it is white.
  In (52,57), the ground is expected to be light grey, but it is white.
  In (52,61), the ground is expected to be light grey, but it is white.
  In (53,0), the ground is expected to be light grey, but it is white.
