The amount of steps is wrong: 83420 is not 0
  In (3,49), the ground is expected to be yellow, but it is white.
  In (31,10), the ground is expected to be yellow, but it is white.
  In (31,11), the ground is expected to be yellow, but it is white.
  In (31,25), the ground is expected to be white, but it is cyan.
  In (31,26), the ground is expected to be white, but it is blue.
  In (31,27), the ground is expected to be white, but it is blue.
  In (31,28), the ground is expected to be white, but it is blue.
  In (31,29), the ground is expected to be white, but it is grey.
  In (31,30), the ground is expected to be yellow, but it is pink.
  In (31,31), the ground is expected to be yellow, but it is java.awt.Color[r=65,g=79,b=180].
  In (31,32), the ground is expected to be yellow, but it is green.
  In (31,33), the ground is expected to be yellow, but it is blue.
  In (31,34), the ground is expected to be white, but it is blue.
  In (31,35), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (31,36), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (31,37), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (31,38), the ground is expected to be white, but it is black.
  In (31,39), the ground is expected to be white, but it is yellow.
  In (31,40), the ground is expected to be white, but it is cyan.
  In (31,41), the ground is expected to be white, but it is dark grey.
  In (31,42), the ground is expected to be yellow, but it is dark grey.
  In (31,43), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (31,44), the ground is expected to be yellow, but it is java.awt.Color[r=185,g=45,b=224].
  In (31,45), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (31,46), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (31,47), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (31,48), the ground is expected to be yellow, but it is java.awt.Color[r=177,g=178,b=55].
  In (31,49), the ground is expected to be yellow, but it is java.awt.Color[r=206,g=113,b=207].
  In (31,50), the ground is expected to be yellow, but it is pink.
  In (31,51), the ground is expected to be white, but it is dark grey.
  In (31,52), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (31,53), the ground is expected to be white, but it is cyan.
  In (31,54), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (31,55), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (31,56), the ground is expected to be white, but it is yellow.
  In (31,58), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (31,59), the ground is expected to be yellow, but it is dark grey.
  In (31,60), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (31,61), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (31,62), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (31,63), the ground is expected to be white, but it is green.
  In (31,64), the ground is expected to be white, but it is orange.
  In (31,65), the ground is expected to be white, but it is yellow.
  In (31,66), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (31,67), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (31,68), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (31,69), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (31,70), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (31,71), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (31,72), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (31,73), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (31,74), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (31,75), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (31,76), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (31,77), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (31,78), the ground is expected to be white, but it is light grey.
  In (31,79), the ground is expected to be white, but it is black.
  In (31,80), the ground is expected to be white, but it is orange.
  In (31,81), the ground is expected to be white, but it is black.
  In (31,82), the ground is expected to be white, but it is grey.
  In (31,83), the ground is expected to be white, but it is black.
  In (31,84), the ground is expected to be white, but it is cyan.
  In (32,2), the ground is expected to be yellow, but it is white.
  In (32,3), the ground is expected to be yellow, but it is white.
  In (32,4), the ground is expected to be yellow, but it is white.
  In (32,6), the ground is expected to be yellow, but it is white.
  In (32,11), the ground is expected to be yellow, but it is white.
  In (32,12), the ground is expected to be yellow, but it is white.
  In (32,25), the ground is expected to be white, but it is green.
  In (32,26), the ground is expected to be white, but it is dark grey.
  In (32,27), the ground is expected to be white, but it is dark grey.
  In (32,28), the ground is expected to be white, but it is dark grey.
  In (32,29), the ground is expected to be white, but it is pink.
  In (32,30), the ground is expected to be yellow, but it is dark grey.
  In (32,31), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (32,32), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (32,33), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (32,34), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (32,35), the ground is expected to be white, but it is blue.
  In (32,36), the ground is expected to be yellow, but it is java.awt.Color[r=244,g=184,b=202].
  In (32,37), the ground is expected to be yellow, but it is java.awt.Color[r=129,g=86,b=167].
  In (32,38), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (32,39), the ground is expected to be white, but it is grey.
  In (32,40), the ground is expected to be white, but it is pink.
  In (32,41), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (32,42), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (32,43), the ground is expected to be yellow, but it is java.awt.Color[r=187,g=143,b=55].
  In (32,44), the ground is expected to be yellow, but it is red.
  In (32,45), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (32,46), the ground is expected to be yellow, but it is magenta.
  In (32,47), the ground is expected to be yellow, but it is pink.
  In (32,48), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (32,49), the ground is expected to be white, but it is black.
  In (32,50), the ground is expected to be yellow, but it is white.
  In (32,51), the ground is expected to be white, but it is blue.
  In (32,52), the ground is expected to be yellow, but it is orange.
  In (32,53), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (32,54), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (32,55), the ground is expected to be yellow, but it is white.
  In (32,56), the ground is expected to be yellow, but it is grey.
  In (32,57), the ground is expected to be yellow, but it is cyan.
  In (32,59), the ground is expected to be white, but it is red.
  In (32,61), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (32,62), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (32,63), the ground is expected to be white, but it is orange.
  In (32,64), the ground is expected to be white, but it is pink.
  In (32,65), the ground is expected to be white, but it is black.
  In (32,66), the ground is expected to be white, but it is cyan.
  In (32,68), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (32,69), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (32,70), the ground is expected to be white, but it is red.
  In (32,71), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (32,73), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (32,74), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (32,75), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (32,77), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (32,78), the ground is expected to be white, but it is black.
  In (32,79), the ground is expected to be white, but it is cyan.
  In (32,80), the ground is expected to be white, but it is green.
  In (32,81), the ground is expected to be white, but it is pink.
  In (32,82), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (32,83), the ground is expected to be white, but it is black.
  In (32,84), the ground is expected to be white, but it is cyan.
  In (33,3), the ground is expected to be yellow, but it is white.
  In (33,4), the ground is expected to be yellow, but it is white.
  In (33,6), the ground is expected to be yellow, but it is white.
  In (33,7), the ground is expected to be yellow, but it is white.
  In (33,8), the ground is expected to be yellow, but it is white.
  In (33,10), the ground is expected to be yellow, but it is white.
  In (33,11), the ground is expected to be yellow, but it is white.
  In (33,25), the ground is expected to be white, but it is green.
  In (33,26), the ground is expected to be white, but it is grey.
  In (33,27), the ground is expected to be white, but it is magenta.
  In (33,28), the ground is expected to be yellow, but it is magenta.
  In (33,29), the ground is expected to be yellow, but it is magenta.
  In (33,30), the ground is expected to be yellow, but it is light grey.
  In (33,31), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (33,32), the ground is expected to be yellow, but it is java.awt.Color[r=65,g=79,b=180].
  In (33,33), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (33,34), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (33,35), the ground is expected to be yellow, but it is white.
  In (33,36), the ground is expected to be white, but it is yellow.
  In (33,37), the ground is expected to be yellow, but it is red.
  In (33,38), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (33,39), the ground is expected to be white, but it is grey.
  In (33,40), the ground is expected to be yellow, but it is pink.
  In (33,41), the ground is expected to be yellow, but it is java.awt.Color[r=129,g=86,b=167].
  In (33,42), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (33,43), the ground is expected to be yellow, but it is orange.
  In (33,45), the ground is expected to be yellow, but it is light grey.
  In (33,46), the ground is expected to be yellow, but it is orange.
  In (33,47), the ground is expected to be yellow, but it is grey.
  In (33,48), the ground is expected to be white, but it is green.
  In (33,49), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (33,50), the ground is expected to be yellow, but it is white.
  In (33,51), the ground is expected to be yellow, but it is black.
  In (33,52), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (33,53), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (33,54), the ground is expected to be yellow, but it is orange.
  In (33,55), the ground is expected to be white, but it is green.
  In (33,56), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (33,57), the ground is expected to be yellow, but it is java.awt.Color[r=177,g=178,b=55].
  In (33,58), the ground is expected to be yellow, but it is dark grey.
  In (33,59), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (33,60), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (33,61), the ground is expected to be white, but it is dark grey.
  In (33,62), the ground is expected to be white, but it is cyan.
  In (33,64), the ground is expected to be white, but it is light grey.
  In (33,65), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (33,66), the ground is expected to be white, but it is green.
  In (33,67), the ground is expected to be white, but it is red.
  In (33,68), the ground is expected to be white, but it is grey.
  In (33,69), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (33,70), the ground is expected to be white, but it is pink.
  In (33,71), the ground is expected to be white, but it is cyan.
  In (33,72), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (33,73), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (33,74), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (33,75), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (33,76), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (33,77), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (33,78), the ground is expected to be white, but it is pink.
  In (33,79), the ground is expected to be white, but it is orange.
  In (33,80), the ground is expected to be white, but it is blue.
  In (33,81), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (33,82), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (33,83), the ground is expected to be white, but it is blue.
  In (33,84), the ground is expected to be white, but it is red.
  In (34,2), the ground is expected to be yellow, but it is white.
  In (34,3), the ground is expected to be yellow, but it is white.
  In (34,4), the ground is expected to be yellow, but it is white.
  In (34,5), the ground is expected to be yellow, but it is white.
  In (34,6), the ground is expected to be yellow, but it is white.
  In (34,7), the ground is expected to be yellow, but it is white.
  In (34,8), the ground is expected to be yellow, but it is white.
  In (34,9), the ground is expected to be yellow, but it is white.
  In (34,10), the ground is expected to be yellow, but it is white.
  In (34,11), the ground is expected to be yellow, but it is white.
  In (34,12), the ground is expected to be yellow, but it is white.
  In (34,13), the ground is expected to be yellow, but it is white.
  In (34,14), the ground is expected to be yellow, but it is white.
  In (34,23), the ground is expected to be white, but it is yellow.
  In (34,24), the ground is expected to be white, but it is red.
  In (34,25), the ground is expected to be white, but it is orange.
  In (34,26), the ground is expected to be white, but it is dark grey.
  In (34,27), the ground is expected to be white, but it is pink.
  In (34,28), the ground is expected to be yellow, but it is grey.
  In (34,29), the ground is expected to be yellow, but it is black.
  In (34,30), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (34,31), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (34,32), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (34,33), the ground is expected to be yellow, but it is java.awt.Color[r=187,g=143,b=55].
  In (34,34), the ground is expected to be yellow, but it is java.awt.Color[r=244,g=184,b=202].
  In (34,35), the ground is expected to be yellow, but it is pink.
  In (34,36), the ground is expected to be yellow, but it is red.
  In (34,37), the ground is expected to be yellow, but it is grey.
  In (34,38), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (34,39), the ground is expected to be yellow, but it is red.
  In (34,40), the ground is expected to be yellow, but it is black.
  In (34,41), the ground is expected to be white, but it is magenta.
  In (34,42), the ground is expected to be white, but it is light grey.
  In (34,43), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (34,44), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (34,45), the ground is expected to be white, but it is cyan.
  In (34,46), the ground is expected to be white, but it is cyan.
  In (34,47), the ground is expected to be yellow, but it is orange.
  In (34,48), the ground is expected to be white, but it is orange.
  In (34,49), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (34,50), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (34,51), the ground is expected to be yellow, but it is red.
  In (34,52), the ground is expected to be yellow, but it is java.awt.Color[r=177,g=178,b=55].
  In (34,53), the ground is expected to be yellow, but it is java.awt.Color[r=175,g=214,b=53].
  In (34,54), the ground is expected to be yellow, but it is green.
  In (34,55), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (34,56), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (34,57), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (34,58), the ground is expected to be white, but it is blue.
  In (34,59), the ground is expected to be yellow, but it is pink.
  In (34,60), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (34,61), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (34,62), the ground is expected to be white, but it is dark grey.
  In (34,63), the ground is expected to be white, but it is dark grey.
  In (34,64), the ground is expected to be white, but it is grey.
  In (34,65), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (34,66), the ground is expected to be white, but it is orange.
  In (34,67), the ground is expected to be white, but it is black.
  In (34,68), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (34,69), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (34,70), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (34,71), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (34,72), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (34,73), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (34,74), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (34,75), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (34,76), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (34,77), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (34,78), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (34,79), the ground is expected to be white, but it is black.
  In (34,80), the ground is expected to be white, but it is pink.
  In (34,81), the ground is expected to be white, but it is pink.
  In (34,82), the ground is expected to be white, but it is grey.
  In (34,83), the ground is expected to be white, but it is blue.
  In (34,84), the ground is expected to be white, but it is red.
  In (35,5), the ground is expected to be yellow, but it is white.
  In (35,6), the ground is expected to be yellow, but it is white.
  In (35,7), the ground is expected to be yellow, but it is white.
  In (35,9), the ground is expected to be yellow, but it is white.
  In (35,10), the ground is expected to be yellow, but it is white.
  In (35,12), the ground is expected to be yellow, but it is white.
  In (35,13), the ground is expected to be yellow, but it is white.
  In (35,23), the ground is expected to be white, but it is yellow.
  In (35,24), the ground is expected to be white, but it is orange.
  In (35,25), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (35,26), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (35,27), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (35,28), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (35,29), the ground is expected to be yellow, but it is dark grey.
  In (35,30), the ground is expected to be white, but it is light grey.
  In (35,31), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (35,32), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (35,33), the ground is expected to be yellow, but it is green.
  In (35,34), the ground is expected to be white, but it is orange.
  In (35,35), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (35,36), the ground is expected to be white, but it is cyan.
  In (35,37), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (35,38), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (35,39), the ground is expected to be white, but it is pink.
  In (35,40), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (35,41), the ground is expected to be yellow, but it is java.awt.Color[r=177,g=178,b=55].
  In (35,42), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (35,43), the ground is expected to be yellow, but it is green.
  In (35,44), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (35,45), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (35,46), the ground is expected to be white, but it is dark grey.
  In (35,47), the ground is expected to be white, but it is black.
  In (35,48), the ground is expected to be white, but it is light grey.
  In (35,49), the ground is expected to be yellow, but it is black.
  In (35,51), the ground is expected to be yellow, but it is java.awt.Color[r=187,g=143,b=55].
  In (35,52), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (35,53), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (35,54), the ground is expected to be white, but it is grey.
  In (35,55), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (35,56), the ground is expected to be yellow, but it is light grey.
  In (35,57), the ground is expected to be yellow, but it is blue.
  In (35,58), the ground is expected to be white, but it is orange.
  In (35,59), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (35,60), the ground is expected to be white, but it is black.
  In (35,61), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (35,62), the ground is expected to be white, but it is pink.
  In (35,63), the ground is expected to be white, but it is light grey.
  In (35,64), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (35,65), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (35,66), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (35,67), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (35,68), the ground is expected to be white, but it is light grey.
  In (35,69), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (35,70), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (35,71), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (35,72), the ground is expected to be white, but it is dark grey.
  In (35,73), the ground is expected to be white, but it is java.awt.Color[r=244,g=184,b=202].
  In (35,74), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (35,75), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (35,76), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (35,77), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (35,78), the ground is expected to be white, but it is grey.
  In (35,79), the ground is expected to be white, but it is pink.
  In (35,80), the ground is expected to be white, but it is dark grey.
  In (35,81), the ground is expected to be white, but it is magenta.
  In (35,82), the ground is expected to be white, but it is black.
  In (35,83), the ground is expected to be white, but it is green.
  In (35,84), the ground is expected to be white, but it is yellow.
  In (36,7), the ground is expected to be yellow, but it is white.
  In (36,8), the ground is expected to be yellow, but it is white.
  In (36,9), the ground is expected to be yellow, but it is white.
  In (36,11), the ground is expected to be yellow, but it is white.
  In (36,13), the ground is expected to be yellow, but it is white.
  In (36,14), the ground is expected to be yellow, but it is white.
  In (36,24), the ground is expected to be white, but it is blue.
  In (36,25), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (36,26), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (36,27), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (36,28), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (36,29), the ground is expected to be yellow, but it is java.awt.Color[r=206,g=113,b=207].
  In (36,30), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (36,31), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (36,32), the ground is expected to be yellow, but it is java.awt.Color[r=187,g=143,b=55].
  In (36,33), the ground is expected to be yellow, but it is orange.
  In (36,34), the ground is expected to be white, but it is magenta.
  In (36,35), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (36,36), the ground is expected to be yellow, but it is java.awt.Color[r=244,g=184,b=202].
  In (36,37), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (36,38), the ground is expected to be white, but it is pink.
  In (36,39), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (36,40), the ground is expected to be yellow, but it is java.awt.Color[r=127,g=99,b=41].
  In (36,42), the ground is expected to be white, but it is dark grey.
  In (36,43), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (36,44), the ground is expected to be white, but it is pink.
  In (36,46), the ground is expected to be yellow, but it is java.awt.Color[r=175,g=214,b=53].
  In (36,47), the ground is expected to be yellow, but it is black.
  In (36,48), the ground is expected to be white, but it is dark grey.
  In (36,49), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (36,50), the ground is expected to be white, but it is dark grey.
  In (36,51), the ground is expected to be yellow, but it is green.
  In (36,52), the ground is expected to be yellow, but it is red.
  In (36,53), the ground is expected to be yellow, but it is green.
  In (36,54), the ground is expected to be white, but it is magenta.
  In (36,55), the ground is expected to be white, but it is magenta.
  In (36,56), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (36,57), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (36,58), the ground is expected to be white, but it is light grey.
  In (36,59), the ground is expected to be white, but it is orange.
  In (36,60), the ground is expected to be white, but it is magenta.
  In (36,61), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (36,62), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (36,63), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (36,64), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (36,65), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (36,66), the ground is expected to be white, but it is java.awt.Color[r=65,g=79,b=180].
  In (36,67), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (36,68), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (36,69), the ground is expected to be white, but it is grey.
  In (36,70), the ground is expected to be white, but it is magenta.
  In (36,71), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (36,72), the ground is expected to be white, but it is magenta.
  In (36,73), the ground is expected to be white, but it is yellow.
  In (36,75), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (36,76), the ground is expected to be white, but it is light grey.
  In (36,77), the ground is expected to be white, but it is magenta.
  In (36,78), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (36,79), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (36,80), the ground is expected to be white, but it is blue.
  In (36,81), the ground is expected to be white, but it is black.
  In (36,82), the ground is expected to be white, but it is grey.
  In (36,83), the ground is expected to be white, but it is cyan.
  In (37,7), the ground is expected to be yellow, but it is white.
  In (37,14), the ground is expected to be yellow, but it is white.
  In (37,24), the ground is expected to be white, but it is orange.
  In (37,25), the ground is expected to be white, but it is magenta.
  In (37,26), the ground is expected to be white, but it is light grey.
  In (37,27), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (37,28), the ground is expected to be yellow, but it is java.awt.Color[r=65,g=79,b=180].
  In (37,29), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (37,30), the ground is expected to be yellow, but it is java.awt.Color[r=177,g=178,b=55].
  In (37,31), the ground is expected to be yellow, but it is java.awt.Color[r=82,g=208,b=110].
  In (37,32), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (37,33), the ground is expected to be yellow, but it is orange.
  In (37,34), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (37,35), the ground is expected to be yellow, but it is grey.
  In (37,36), the ground is expected to be white, but it is dark grey.
  In (37,37), the ground is expected to be white, but it is pink.
  In (37,38), the ground is expected to be white, but it is orange.
  In (37,39), the ground is expected to be white, but it is magenta.
  In (37,40), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (37,41), the ground is expected to be yellow, but it is java.awt.Color[r=129,g=86,b=167].
  In (37,42), the ground is expected to be white, but it is java.awt.Color[r=82,g=208,b=110].
  In (37,43), the ground is expected to be white, but it is pink.
  In (37,44), the ground is expected to be yellow, but it is grey.
  In (37,45), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (37,46), the ground is expected to be yellow, but it is dark grey.
  In (37,47), the ground is expected to be white, but it is orange.
  In (37,48), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (37,49), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (37,50), the ground is expected to be white, but it is blue.
  In (37,51), the ground is expected to be yellow, but it is black.
  In (37,52), the ground is expected to be yellow, but it is orange.
  In (37,53), the ground is expected to be white, but it is red.
  In (37,54), the ground is expected to be white, but it is green.
  In (37,55), the ground is expected to be white, but it is magenta.
  In (37,56), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (37,57), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (37,58), the ground is expected to be white, but it is java.awt.Color[r=177,g=178,b=55].
  In (37,60), the ground is expected to be white, but it is java.awt.Color[r=187,g=143,b=55].
  In (37,61), the ground is expected to be white, but it is grey.
  In (37,62), the ground is expected to be white, but it is light grey.
  In (37,63), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (37,64), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
